"casenum","geschlecht","alter","TP1","TP2","TP3","TP4","TP5","TP6","TP7","TP8","TP9","TP10","TP11","TP12"
280,"weiblich",19,2,4,2,1,2,2,4,4,3,3,4,2
281,"weiblich",21,1,2,2,2,1,2,2,3,2,3,4,4
289,"maennlich",23,1,1,2,1,1,1,3,4,3,3,3,4
290,"weiblich",16,1,1,4,4,1,1,3,3,2,3,5,4
296,"weiblich",22,1,4,3,3,2,1,3,4,3,3,4,4
301,"weiblich",29,1,3,3,2,1,1,2,4,3,4,4,4
302,"weiblich",21,2,3,3,2,1,1,3,4,1,3,5,4
305,"weiblich",25,1,1,2,1,1,1,2,1,3,4,4,4
307,"weiblich",24,1,1,2,1,1,1,1,2,1,4,4,4
308,"weiblich",19,1,1,2,1,1,1,3,4,2,5,5,4
310,"weiblich",20,1,1,1,1,1,1,1,1,5,5,5,5
312,"weiblich",21,2,2,2,1,1,1,4,3,3,3,5,5
313,"weiblich",21,1,3,2,3,1,1,2,3,3,3,4,4
314,"weiblich",22,1,3,3,2,2,2,4,5,4,4,3,3
316,"weiblich",18,1,2,4,1,1,1,2,4,2,4,4,5
317,"weiblich",18,1,2,3,2,2,1,3,4,2,4,5,4
318,"weiblich",22,1,2,2,1,1,2,3,1,3,4,4,4
320,"weiblich",23,1,1,1,1,1,1,1,1,1,5,5,5
322,"weiblich",20,2,2,2,2,1,1,3,4,3,4,4,4
323,"weiblich",20,1,1,2,1,1,1,3,3,3,3,4,3
324,"weiblich",31,2,2,4,3,1,1,3,4,4,3,4,3
325,"weiblich",22,1,2,1,1,3,2,5,5,3,5,5,5
326,"weiblich",21,1,2,3,2,2,3,4,2,4,4,4,4
327,"weiblich",21,1,2,2,2,1,1,4,5,2,3,4,4
329,"weiblich",23,1,1,1,1,1,1,1,2,3,4,5,5
331,"weiblich",20,1,2,3,2,1,1,2,4,2,5,5,5
332,"weiblich",21,1,1,1,2,1,1,1,4,3,5,5,5
333,"maennlich",20,2,3,2,2,1,1,2,3,3,4,5,5
335,"maennlich",23,1,1,1,1,1,1,4,4,4,3,3,3
336,"weiblich",32,4,5,5,2,2,1,3,2,3,2,3,4
339,"weiblich",20,1,2,4,2,1,1,2,3,2,3,4,4
340,"weiblich",21,2,4,4,4,1,3,4,5,4,3,4,4
341,"weiblich",51,1,1,1,1,1,1,3,2,2,4,5,5
345,"maennlich",21,1,1,2,2,2,1,3,5,3,3,4,4
346,"weiblich",21,1,2,2,2,1,1,1,3,3,5,5,4
347,"maennlich",26,1,1,1,1,1,1,4,4,2,4,5,5
348,"weiblich",24,1,2,1,1,1,1,2,4,2,3,4,4
349,"weiblich",23,1,3,2,2,1,1,1,5,4,4,5,4
350,"maennlich",22,1,1,1,1,1,1,2,3,2,4,5,5
352,"maennlich",20,1,1,4,2,1,1,1,4,2,5,5,4
353,"maennlich",20,1,1,1,1,1,1,1,3,2,3,5,3
354,"weiblich",22,1,1,1,1,1,1,4,5,5,5,5,5
355,"weiblich",41,1,1,1,1,1,1,3,5,2,5,5,5
356,"weiblich",21,2,3,4,2,1,1,4,4,5,4,4,4
359,"maennlich",23,4,4,4,3,4,4,5,5,5,3,4,4
360,"weiblich",20,1,1,3,1,1,1,2,5,3,4,5,5
361,"weiblich",22,1,3,2,1,1,2,2,4,3,3,5,4
362,"weiblich",19,1,3,4,3,1,1,4,3,4,2,4,3
364,"weiblich",19,1,1,2,1,1,1,1,5,3,4,4,4
365,"weiblich",21,1,1,1,1,1,1,3,5,2,4,4,3
369,"maennlich",20,1,1,2,1,1,1,2,5,3,5,5,4
371,"weiblich",21,3,4,5,3,1,3,5,3,2,3,4,3
377,"weiblich",77,2,2,2,1,1,2,3,4,3,3,3,3
382,"weiblich",19,2,4,4,1,1,2,4,5,3,3,5,4
383,"weiblich",20,1,1,2,1,1,1,1,4,2,5,5,5
384,"weiblich",24,1,1,1,2,1,1,2,3,2,5,5,5
385,"maennlich",33,1,2,2,1,1,1,4,2,5,4,4,4
386,"weiblich",22,1,2,3,2,1,1,3,5,4,4,4,4
387,"weiblich",24,1,1,3,1,1,1,1,5,3,5,5,4
391,"maennlich",21,1,1,3,1,1,1,1,1,1,5,5,5
395,"weiblich",56,1,1,1,1,1,1,3,4,4,4,4,4
401,"weiblich",22,1,1,1,1,1,1,1,4,2,5,5,5
402,"weiblich",21,1,2,4,2,1,1,3,5,3,3,5,4
403,"weiblich",20,2,1,4,3,1,1,5,5,4,4,5,5
408,"weiblich",23,1,2,2,1,1,1,3,5,4,4,5,5
410,"weiblich",21,1,1,2,1,1,1,2,5,4,4,4,4
412,"weiblich",54,2,1,2,2,1,1,1,2,3,4,4,4
413,"maennlich",64,3,3,3,2,2,3,4,4,4,2,4,4
415,"weiblich",17,2,3,2,2,1,1,3,5,2,3,5,4
417,"maennlich",22,1,1,1,1,1,1,3,3,3,5,5,3
420,"maennlich",21,1,2,2,1,1,1,4,4,3,3,4,4
422,"weiblich",53,1,2,3,2,2,1,4,5,2,4,4,4
423,"weiblich",41,1,1,1,1,1,1,3,4,3,5,5,5
427,"weiblich",21,1,1,2,1,1,1,1,4,2,4,5,5
432,"maennlich",22,1,2,2,1,1,1,2,5,1,4,5,5
435,"maennlich",38,1,2,3,1,1,1,4,4,3,4,4,3
436,"weiblich",20,1,4,2,1,1,1,2,4,1,5,5,3
437,"maennlich",30,5,5,5,5,5,5,5,5,5,5,5,5
439,"maennlich",NA,1,1,2,1,1,1,1,2,1,4,5,4
442,"maennlich",28,1,2,3,2,1,1,2,3,4,5,5,5
443,"maennlich",20,1,1,1,1,1,1,2,2,1,5,5,5
444,"weiblich",19,1,2,4,3,1,1,1,5,3,4,4,4
445,"weiblich",20,1,1,3,2,1,1,1,3,1,4,5,5
446,"weiblich",20,1,1,1,1,1,1,4,5,5,4,5,5
454,"weiblich",22,1,2,2,1,1,1,2,5,4,3,3,4
456,"maennlich",25,1,1,2,1,1,1,3,3,3,4,4,3
457,"weiblich",20,1,2,4,2,1,3,5,1,3,4,5,4
459,"maennlich",21,2,3,5,3,2,1,5,5,2,4,3,3
469,"maennlich",45,2,2,4,3,2,2,4,5,2,3,5,5
472,"weiblich",21,1,1,1,1,1,1,1,5,1,4,3,3
474,"weiblich",24,4,4,4,4,4,4,5,4,4,2,3,3
477,"weiblich",25,1,4,2,4,1,2,3,5,3,3,4,3
480,"weiblich",22,1,3,3,1,1,1,4,5,4,3,4,4
482,"weiblich",30,1,3,1,1,1,1,2,2,2,4,5,5
484,"weiblich",20,2,2,2,2,2,2,3,5,4,3,5,5
492,"weiblich",19,1,2,2,1,1,1,3,5,2,3,5,3
494,"weiblich",48,1,2,3,1,1,1,4,4,3,3,4,4
496,"weiblich",21,1,1,1,1,1,1,3,5,2,5,5,5
497,"weiblich",18,1,1,1,1,1,1,1,4,4,5,5,5
503,"weiblich",51,3,4,5,4,4,4,3,5,3,2,4,3
504,"weiblich",36,1,1,3,1,1,1,3,2,3,4,4,5
505,"weiblich",52,3,3,3,2,3,2,4,2,3,3,5,3
506,"maennlich",20,1,1,3,1,1,1,3,2,2,5,5,4
507,"weiblich",21,1,1,2,1,1,1,3,4,2,4,4,3
508,"weiblich",58,3,3,3,3,1,1,5,5,5,3,3,3
510,"weiblich",23,1,1,1,1,1,1,1,5,3,3,5,5
