"casenum","geschlecht","alter","TP1","TP2","TP3","TP4","TP5","TP6","TP7","TP8","TP9","TP10","TP11","TP12"
511,"weiblich",22,1,2,3,1,1,1,4,5,3,3,4,3
512,"maennlich",45,2,3,2,2,1,1,4,3,4,3,3,3
514,"weiblich",46,2,2,4,2,2,2,2,5,5,4,4,4
515,"weiblich",49,5,5,5,5,4,5,1,5,2,1,4,3
516,"weiblich",19,1,2,1,2,1,1,1,3,2,5,5,5
517,"weiblich",18,1,2,2,1,1,1,4,5,4,4,4,4
519,"weiblich",24,2,3,2,2,1,1,1,3,2,4,5,5
521,"weiblich",27,3,4,4,4,2,1,2,5,3,4,5,4
522,"weiblich",52,1,1,2,1,1,1,1,4,1,5,5,5
524,"maennlich",71,1,1,2,1,1,1,2,1,5,3,3,4
525,"weiblich",21,1,2,3,1,1,1,3,5,2,4,5,5
527,"maennlich",26,1,1,1,1,1,1,4,4,3,4,5,5
528,"weiblich",18,1,1,2,1,1,1,3,5,1,3,5,5
529,"maennlich",45,1,2,1,2,1,1,4,2,2,3,5,5
533,"weiblich",18,1,1,2,1,1,1,1,5,1,5,5,5
535,"weiblich",43,1,3,4,1,1,1,1,4,1,5,5,5
536,"weiblich",24,1,4,2,1,1,1,2,3,2,3,5,5
539,"weiblich",49,1,3,3,1,1,1,3,3,1,3,5,5
540,"weiblich",24,1,2,2,2,1,1,1,5,3,4,5,5
543,"weiblich",18,1,3,2,1,1,1,1,2,2,5,5,5
546,"weiblich",28,2,4,2,2,2,2,3,3,2,4,4,4
547,"maennlich",28,1,2,2,1,1,1,3,4,2,3,3,3
548,"weiblich",21,1,2,1,1,1,1,4,4,2,5,5,5
549,"maennlich",35,1,1,2,1,1,1,4,5,5,4,5,4
550,"weiblich",21,1,1,3,1,1,1,1,4,1,4,4,4
551,"weiblich",41,1,2,4,2,2,2,4,4,4,3,4,4
552,"weiblich",21,1,1,2,1,1,1,1,4,2,1,5,5
553,"maennlich",64,1,1,1,1,1,1,1,1,2,5,5,5
556,"weiblich",20,1,1,1,1,1,1,1,5,2,4,4,3
557,"weiblich",28,1,1,3,1,1,1,1,3,1,5,5,5
558,"weiblich",19,1,3,2,2,1,1,5,5,3,4,5,5
559,"weiblich",17,2,3,4,3,2,3,2,4,3,3,5,4
563,"weiblich",56,1,1,3,1,1,1,1,2,1,5,5,5
565,"weiblich",19,4,4,5,4,2,3,3,5,5,3,5,4
566,"weiblich",21,3,2,5,3,1,1,1,5,5,4,5,5
577,"maennlich",21,1,1,2,1,1,1,5,5,3,5,5,5
579,"weiblich",48,3,3,4,3,2,2,2,4,2,2,4,3
581,"weiblich",53,1,1,3,1,1,1,4,5,5,3,3,3
584,"weiblich",59,1,1,2,1,1,1,3,3,4,4,4,4
586,"weiblich",21,1,1,1,1,1,1,3,5,2,4,5,3
589,"weiblich",50,1,1,3,1,1,1,4,5,1,1,2,2
591,"maennlich",20,1,1,1,1,1,1,2,3,3,5,5,5
592,"maennlich",20,1,1,1,1,1,1,2,5,2,4,4,5
594,"weiblich",23,2,3,3,2,2,2,2,4,3,4,4,4
596,"weiblich",44,1,3,2,2,1,1,4,5,4,4,3,3
597,"weiblich",20,2,3,3,2,1,1,3,5,2,3,4,3
601,"weiblich",25,1,2,2,2,2,2,4,3,5,3,4,4
619,"weiblich",57,1,1,2,1,1,1,3,1,2,3,3,3
624,"weiblich",21,1,1,2,1,1,1,1,1,1,3,4,4
629,"weiblich",19,1,1,1,1,1,1,2,4,2,5,5,5
631,"weiblich",20,2,2,5,3,1,2,4,4,2,3,4,4
632,"maennlich",43,1,2,1,2,1,1,5,5,5,3,2,2
634,"maennlich",32,1,2,3,2,1,1,2,3,3,3,5,4
645,"weiblich",48,1,1,1,1,1,1,1,1,1,5,5,5
649,"weiblich",18,1,1,2,1,1,1,2,3,2,5,5,5
650,"weiblich",21,1,2,2,2,1,1,3,4,3,4,4,4
651,"weiblich",20,2,5,3,3,3,5,3,4,3,3,4,3
653,"maennlich",20,1,2,2,2,1,1,2,5,1,5,5,4
654,"maennlich",21,1,1,1,1,1,1,1,1,2,5,5,5
657,"weiblich",27,1,1,1,1,1,1,1,2,1,5,5,5
658,"weiblich",20,1,1,2,1,1,1,2,4,4,5,5,5
659,"weiblich",50,1,1,3,4,1,1,1,2,1,3,5,5
661,"weiblich",22,1,5,1,1,1,1,1,5,3,3,4,4
665,"weiblich",21,3,3,4,2,2,2,4,5,5,4,4,3
667,"maennlich",22,1,1,3,1,1,1,2,2,1,5,5,5
668,"maennlich",21,1,4,3,3,1,1,3,3,5,4,4,4
669,"maennlich",18,2,4,2,3,3,2,5,3,2,3,4,4
670,"weiblich",19,1,3,2,2,1,1,3,4,1,4,5,5
671,"weiblich",20,1,2,2,2,2,1,3,5,3,4,4,3
672,"weiblich",21,1,2,3,1,1,1,2,4,3,4,5,5
673,"maennlich",49,2,2,2,2,2,2,2,4,3,4,4,4
674,"weiblich",19,1,2,3,2,1,2,1,4,4,4,5,5
675,"weiblich",22,1,1,1,1,1,1,2,4,4,5,5,5
676,"maennlich",21,1,1,1,1,1,1,1,1,3,4,4,4
677,"weiblich",19,1,1,3,1,1,1,3,5,3,4,5,5
679,"weiblich",22,1,1,2,2,2,2,2,4,2,4,4,5
683,"weiblich",25,1,5,3,4,2,2,4,5,5,4,4,4
685,"weiblich",22,1,1,3,1,1,1,2,3,3,4,5,5
686,"weiblich",19,1,1,3,2,1,1,2,1,2,4,5,4
687,"maennlich",19,1,1,1,1,1,1,1,3,3,5,5,5
688,"weiblich",19,1,4,1,1,2,1,5,5,5,3,4,5
689,"maennlich",26,1,4,1,1,1,1,2,3,1,5,5,5
691,"weiblich",19,1,1,3,1,1,1,1,3,1,5,5,5
694,"weiblich",25,1,1,1,1,1,1,5,5,2,4,3,3
697,"maennlich",21,3,4,4,4,1,1,5,4,2,3,4,3
698,"weiblich",22,1,2,1,1,1,1,3,3,1,5,5,5
699,"weiblich",19,2,4,2,3,1,1,3,4,3,3,3,3
702,"weiblich",21,2,3,3,3,2,3,5,5,4,3,4,4
708,"weiblich",20,1,2,2,1,1,1,2,5,2,4,5,4
710,"weiblich",24,1,1,2,1,1,1,1,3,4,5,5,5
711,"weiblich",22,1,4,2,4,1,4,5,5,5,4,5,4
716,"weiblich",23,1,3,3,2,1,1,2,3,2,4,5,4
717,"weiblich",22,1,2,3,1,1,1,3,5,4,4,4,4
718,"weiblich",22,1,4,5,3,1,1,4,2,3,3,5,5
719,"weiblich",50,3,2,4,2,1,1,1,3,3,3,4,4
721,"weiblich",21,1,2,1,1,1,1,3,4,3,4,4,4
722,"weiblich",23,1,1,1,1,1,1,3,2,1,3,5,5
725,"maennlich",24,1,1,1,1,1,1,1,1,1,5,5,5
726,"weiblich",20,1,1,2,1,1,1,2,2,3,5,5,5
727,"weiblich",48,1,4,4,1,1,1,2,2,1,4,5,4
729,"weiblich",20,1,1,2,1,1,1,1,2,1,5,5,5
730,"weiblich",23,4,5,5,4,3,1,4,5,3,1,4,3
733,"maennlich",52,2,2,2,2,2,2,2,4,2,3,2,2
735,"weiblich",20,1,1,1,1,1,1,5,5,1,3,4,3
743,"weiblich",20,1,2,3,2,1,1,4,4,4,3,4,3
745,"weiblich",20,1,2,2,1,1,1,2,4,2,4,4,4
746,"weiblich",20,2,3,5,3,2,1,4,5,3,3,4,4
749,"weiblich",44,3,3,4,2,2,2,3,4,2,3,4,4
751,"weiblich",49,2,3,3,3,2,3,4,4,3,3,3,3
753,"weiblich",20,1,2,2,1,1,1,3,4,3,2,3,3
754,"weiblich",23,1,2,3,2,1,1,1,4,3,4,5,5
756,"weiblich",56,1,2,3,3,2,2,4,5,3,3,4,3
757,"weiblich",52,1,2,2,2,2,2,2,2,4,4,4,4
759,"weiblich",27,1,1,2,1,1,1,3,4,2,4,5,5
761,"weiblich",20,2,4,4,3,1,2,4,4,4,4,5,4
762,"weiblich",19,1,2,5,2,1,1,4,3,4,3,4,3
764,"weiblich",18,1,2,2,1,1,2,2,5,3,3,5,5
765,"weiblich",41,1,5,3,3,1,1,2,5,5,5,5,5
766,"weiblich",58,2,4,4,4,3,3,3,5,5,3,4,4
768,"weiblich",21,3,3,2,1,1,1,4,5,4,3,4,3
770,"maennlich",29,1,1,1,1,1,1,1,1,1,5,5,5
771,"weiblich",21,1,2,4,1,1,1,4,5,4,4,4,4
772,"weiblich",21,1,3,2,1,1,1,3,5,3,4,5,4
773,"weiblich",19,1,2,3,2,1,1,1,5,3,4,5,5
774,"maennlich",52,1,1,1,1,1,1,1,4,4,4,5,5
776,"maennlich",20,1,3,1,2,1,1,3,4,1,5,5,4
777,"weiblich",40,1,1,1,1,1,1,3,5,4,4,4,4
778,"maennlich",42,2,2,1,1,1,1,4,5,2,3,5,5
779,"weiblich",19,2,4,3,2,2,2,3,4,2,3,4,3
783,"weiblich",19,1,3,4,3,1,1,3,4,4,4,4,4
789,"weiblich",21,1,3,3,2,1,1,3,5,4,5,5,5
792,"weiblich",22,1,2,2,2,1,1,1,4,1,5,5,5
796,"weiblich",21,1,2,1,1,1,1,1,2,1,5,5,5
797,"maennlich",25,1,2,3,2,1,1,2,4,2,5,5,5
798,"weiblich",19,1,1,2,1,1,1,3,5,4,4,3,4
800,"weiblich",69,3,3,5,4,2,2,3,5,3,2,4,2
801,"maennlich",22,1,1,1,1,1,1,1,2,1,5,5,5
803,"maennlich",25,1,1,1,1,1,1,2,3,1,4,5,5
805,"weiblich",29,1,4,3,3,1,1,5,3,3,3,4,3
806,"weiblich",22,3,4,4,3,2,3,4,5,4,3,4,4
809,"weiblich",24,1,2,1,2,1,1,2,4,2,5,5,5
811,"weiblich",20,1,1,2,1,1,1,1,2,2,4,5,5
812,"weiblich",28,1,2,4,2,1,1,3,5,3,2,4,3
813,"weiblich",38,1,1,1,1,1,1,2,2,3,4,5,5
814,"maennlich",24,1,1,1,1,1,1,3,4,1,4,4,4
816,"weiblich",20,2,4,5,4,3,3,3,5,3,3,5,3
817,"weiblich",19,1,4,4,3,1,1,3,5,4,3,4,5
818,"weiblich",19,2,3,4,3,2,3,3,4,3,3,4,3
819,"weiblich",20,1,2,2,2,1,1,3,5,2,3,5,4
820,"weiblich",20,1,3,3,1,1,1,3,5,1,3,5,5
821,"maennlich",21,1,3,2,2,1,1,3,5,5,4,4,3
822,"maennlich",24,1,1,2,1,1,1,3,4,2,4,4,5
827,"weiblich",21,1,2,1,1,1,1,2,4,4,5,5,5
829,"weiblich",18,1,2,2,3,1,1,4,4,3,3,4,4
830,"weiblich",21,1,2,3,2,1,2,3,4,3,3,4,4
831,"weiblich",18,1,2,3,1,1,1,5,5,5,3,4,4
835,"weiblich",20,2,4,5,3,3,3,5,5,2,3,3,4
836,"maennlich",41,1,1,1,1,1,1,1,1,1,1,4,4
839,"weiblich",22,1,3,2,1,1,1,4,5,4,4,3,4
840,"weiblich",27,1,2,4,3,1,1,2,3,3,4,5,5
841,"weiblich",41,1,1,1,1,1,1,1,3,1,4,4,3
843,"weiblich",18,1,1,2,2,1,1,2,5,5,4,5,5
844,"weiblich",19,1,1,2,1,1,1,3,5,4,4,4,4
845,"weiblich",21,1,1,3,1,2,2,3,4,2,4,3,3
846,"weiblich",18,1,1,2,1,1,1,3,3,3,4,4,5
851,"weiblich",19,1,1,3,1,1,1,4,4,5,5,5,5
853,"weiblich",19,1,4,1,1,1,1,4,5,5,3,5,5
854,"weiblich",23,1,2,2,1,1,1,4,5,2,4,4,4
856,"weiblich",22,1,2,2,1,1,1,1,3,3,4,5,4
857,"weiblich",69,1,1,2,1,1,1,1,2,2,5,5,5
859,"weiblich",18,2,2,2,1,1,2,3,1,3,4,5,5
860,"weiblich",21,3,4,5,2,1,2,2,3,3,3,4,4
862,"weiblich",45,2,3,3,2,2,2,2,3,4,4,4,4
863,"weiblich",16,1,3,3,1,1,1,3,5,2,3,5,5
864,"maennlich",22,1,3,1,2,1,1,3,4,2,4,5,5
865,"weiblich",40,1,1,2,2,1,1,4,3,2,4,4,4
866,"weiblich",57,1,2,3,1,1,1,1,4,2,4,5,5
870,"weiblich",24,1,3,2,2,1,1,1,3,3,4,5,4
871,"weiblich",26,2,3,3,3,3,2,4,3,3,3,4,3
872,"weiblich",47,1,1,2,1,1,1,3,3,3,5,5,5
874,"weiblich",17,1,1,2,1,1,1,2,3,1,5,5,4
875,"weiblich",54,1,2,3,2,2,2,5,5,5,1,4,3
876,"weiblich",23,1,4,4,2,1,1,2,3,2,4,5,5
878,"maennlich",25,1,1,1,1,1,1,1,3,1,4,4,4
879,"weiblich",23,1,1,2,1,1,2,2,3,2,4,5,5
880,"weiblich",21,1,1,3,3,1,2,3,5,3,3,4,4
883,"weiblich",45,3,3,5,4,4,3,4,5,4,2,4,3
887,"weiblich",38,1,1,4,3,1,1,5,5,3,3,4,5
893,"maennlich",49,1,2,1,2,1,1,2,4,3,4,4,5
894,"weiblich",28,1,2,3,1,1,1,2,3,1,5,5,5
895,"weiblich",21,1,2,2,2,1,1,1,2,3,4,5,5
896,"weiblich",23,1,1,1,1,1,1,1,5,2,4,5,4
897,"maennlich",22,1,2,4,2,2,1,2,5,3,4,4,4
898,"weiblich",51,1,3,1,1,1,2,3,5,5,4,5,5
899,"maennlich",27,3,2,4,2,2,1,4,5,1,4,5,5
900,"maennlich",24,1,1,1,1,1,1,3,5,2,5,4,5
901,"weiblich",21,1,2,2,1,1,1,2,4,3,4,5,4
908,"weiblich",24,1,1,2,1,1,1,1,2,2,5,5,5
910,"weiblich",25,1,1,1,1,1,1,1,2,1,5,5,5
911,"weiblich",23,1,1,1,1,1,1,3,5,2,4,5,5
914,"maennlich",20,1,1,2,1,1,1,1,3,3,5,5,5
916,"weiblich",18,1,1,1,1,1,1,1,1,1,5,4,4
917,"weiblich",20,1,1,1,1,1,1,3,5,3,4,5,4
918,"weiblich",19,1,3,3,1,1,1,2,3,3,4,4,4
919,"maennlich",20,1,1,1,1,1,1,1,1,1,5,5,5
920,"weiblich",25,1,2,2,1,1,1,5,5,3,3,5,5
921,"weiblich",21,1,2,2,1,1,1,2,4,3,4,4,4
922,"weiblich",23,1,3,2,3,2,1,2,4,2,3,5,3
924,"weiblich",22,1,1,3,1,1,1,1,3,1,5,5,5
927,"weiblich",19,3,4,5,3,1,2,3,5,4,3,4,4
928,"weiblich",16,1,1,1,1,1,1,1,5,3,3,5,3
929,"weiblich",20,1,1,5,3,2,2,4,4,1,4,4,3
931,"weiblich",22,1,3,2,2,1,1,1,5,3,4,5,5
933,"weiblich",19,1,1,3,1,1,1,1,5,2,4,5,5
936,"weiblich",28,1,3,1,1,1,1,1,3,1,4,4,4
937,"maennlich",18,1,1,1,1,1,1,1,5,3,4,5,5
938,"weiblich",18,1,1,2,1,1,1,1,4,1,5,5,5
939,"weiblich",50,1,2,3,1,1,1,3,4,3,3,4,4
940,"maennlich",21,1,1,1,1,1,1,1,1,1,5,5,5
942,"weiblich",18,1,1,2,1,1,1,5,4,4,3,5,5
945,"weiblich",23,1,4,2,2,1,2,4,4,2,3,4,4
949,"weiblich",21,1,2,2,2,1,1,2,4,2,5,5,4
952,"weiblich",46,1,4,1,1,1,1,2,4,3,3,4,3
953,"weiblich",21,1,1,1,1,1,1,2,4,2,4,5,5
955,"maennlich",53,1,2,2,2,1,1,3,4,3,4,4,4
960,"weiblich",23,1,1,1,1,1,1,5,4,4,3,3,4
964,"weiblich",40,1,1,1,1,1,1,3,4,3,3,4,4
965,"weiblich",40,1,1,3,1,1,1,1,5,1,5,5,5
966,"weiblich",21,2,3,2,2,1,2,3,2,2,4,4,4
967,"maennlich",18,1,1,3,1,1,1,3,5,4,4,5,5
969,"weiblich",16,1,1,1,1,1,1,3,5,3,5,5,5
970,"weiblich",23,1,3,3,2,1,1,1,4,5,4,5,4
972,"weiblich",50,1,1,1,1,1,1,1,3,4,3,5,5
973,"weiblich",36,1,3,4,3,1,1,4,5,3,3,5,5
974,"maennlich",23,1,1,2,2,1,1,4,3,3,4,5,4
975,"weiblich",37,2,2,4,2,2,2,2,5,2,3,4,4
977,"weiblich",19,1,2,4,3,1,1,4,4,4,4,4,4
978,"weiblich",22,1,2,2,3,1,1,4,4,2,5,5,5
981,"weiblich",20,1,1,4,3,1,1,1,5,2,5,5,5
982,"maennlich",25,1,1,1,1,1,1,1,5,2,5,5,5
986,"maennlich",19,1,2,2,3,1,1,1,4,3,4,4,4
987,"weiblich",37,1,2,1,1,1,2,2,3,1,5,5,5
988,"weiblich",43,2,5,5,3,2,1,4,5,2,3,4,2
989,"maennlich",43,1,1,1,1,1,1,3,1,2,4,4,4
991,"weiblich",20,1,4,2,3,2,2,4,5,4,3,4,4
993,"weiblich",53,2,1,3,2,2,2,2,5,2,3,3,4
995,"maennlich",48,1,4,2,2,2,2,2,3,2,4,4,4
997,"weiblich",21,1,4,5,5,1,1,2,1,1,3,4,2
998,"weiblich",19,1,5,5,5,2,2,5,5,3,2,4,4
1005,"weiblich",51,4,4,2,3,4,4,3,5,4,1,5,2
1006,"weiblich",19,1,1,1,1,1,1,2,4,4,5,5,5
1013,"weiblich",18,1,1,5,2,3,2,5,2,3,3,5,4
1014,"weiblich",20,1,3,2,1,1,1,3,5,5,4,4,5
1015,"weiblich",21,2,2,2,1,1,1,4,4,3,4,4,4
1016,"weiblich",21,1,4,1,1,1,1,3,4,2,5,5,5
1017,"weiblich",58,1,1,1,1,1,1,3,5,5,3,3,4
1023,"weiblich",52,1,1,2,1,1,1,3,5,2,4,5,4
1026,"weiblich",46,2,3,3,3,3,3,3,4,3,4,4,4
1027,"weiblich",23,1,4,3,3,1,2,4,5,1,3,4,4
1028,"maennlich",56,1,2,3,1,1,1,3,4,4,4,5,4
1029,"weiblich",20,1,2,3,2,1,1,2,4,1,5,5,5
1032,"weiblich",49,1,1,2,1,1,1,2,4,4,2,4,3
1033,"weiblich",20,1,1,3,1,1,1,2,5,3,4,4,4
1037,"weiblich",23,1,4,3,4,1,2,4,5,4,2,4,3
1038,"maennlich",18,1,3,2,1,1,1,4,5,3,4,5,4
1039,"weiblich",26,1,3,4,2,1,1,2,5,3,5,5,5
1041,"weiblich",24,3,2,5,1,1,1,3,1,3,1,4,4
1044,"weiblich",21,1,4,3,3,1,1,2,3,2,3,5,5
1045,"weiblich",51,1,1,2,1,1,1,1,1,2,1,5,5
1048,"weiblich",51,2,2,2,1,1,1,5,1,4,2,3,1
1049,"maennlich",18,1,5,3,2,1,2,5,3,1,1,3,1
1051,"maennlich",21,1,3,3,2,1,1,5,4,4,4,5,4
1053,"weiblich",23,1,2,1,1,1,1,3,4,3,4,5,5
1054,"weiblich",19,1,2,3,1,1,1,3,4,4,5,4,4
1055,"weiblich",20,1,1,2,1,1,1,2,5,3,5,5,5
1057,"weiblich",21,1,1,3,1,1,1,2,5,2,4,5,5
1058,"weiblich",56,1,1,1,1,1,1,3,5,3,4,4,4
1062,"weiblich",25,1,3,2,1,1,1,4,2,2,3,5,3
1063,"weiblich",17,1,1,2,1,1,1,1,3,1,5,5,5
1064,"weiblich",36,1,1,1,1,1,1,1,3,1,5,5,5
1065,"weiblich",23,1,1,1,1,1,1,3,3,1,5,5,5
1070,"weiblich",29,1,3,2,3,3,2,3,4,3,4,4,3
1071,"weiblich",44,1,1,3,1,1,1,1,1,1,5,5,5
1078,"maennlich",23,1,2,2,2,1,1,1,2,2,5,5,5
1080,"weiblich",54,1,1,2,1,1,1,4,4,3,4,4,4
1083,"weiblich",23,1,1,2,1,1,1,1,4,4,4,5,4
1084,"maennlich",21,1,1,1,1,1,1,3,4,2,5,5,5
1085,"weiblich",23,1,2,3,3,1,1,3,2,2,4,4,4
1086,"maennlich",23,1,1,1,1,1,1,4,4,5,5,5,5
1087,"maennlich",24,1,1,2,1,1,1,2,3,2,4,4,3
1089,"weiblich",46,3,3,5,4,2,2,1,5,5,3,4,3
1090,"weiblich",49,1,1,2,2,1,1,4,5,3,3,4,4
1091,"maennlich",36,1,2,2,1,1,1,2,2,3,4,5,5
1092,"weiblich",52,1,1,1,1,1,1,1,4,1,5,4,4
1093,"weiblich",19,1,1,2,1,1,1,2,4,2,4,5,4
1095,"weiblich",23,1,2,3,2,1,1,2,3,2,4,5,5
1096,"weiblich",23,1,2,1,2,1,1,3,4,3,3,3,3
1097,"weiblich",26,1,3,2,1,1,1,3,4,2,4,4,5
1100,"maennlich",19,1,1,1,1,1,1,1,4,2,5,5,5
1101,"weiblich",18,1,1,2,1,1,1,1,3,1,4,5,5
