"casenum","geschlecht","alter","PF18_01","PF18_02","PF18_03","PF18_04","PF18_05","PF18_06","PF18_07","PF18_08","PF18_09","Vertraeglichkeit"
280,"weiblich",19,2,1,2,2,1,2,2,1,1,5
281,"weiblich",21,4,1,4,2,1,4,1,1,3,2.5
289,"maennlich",23,3,3,3,1,1,2,1,2,2,3
290,"weiblich",16,3,2,3,4,1,3,4,4,4,2
296,"weiblich",22,1,1,3,2,1,2,3,1,1,3
301,"weiblich",29,2,2,3,2,1,2,4,1,3,3
302,"weiblich",21,1,1,3,1,1,3,2,1,2,3.5
305,"weiblich",25,4,2,3,4,2,4,4,1,1,3
307,"weiblich",24,3,3,3,4,2,4,2,1,1,3.5
308,"weiblich",19,2,3,2,1,1,1,1,1,1,2
310,"weiblich",20,4,1,4,4,2,3,5,4,4,1.5
312,"weiblich",21,1,1,3,1,1,2,1,3,2,3
313,"weiblich",21,4,2,4,3,2,4,2,2,4,2.5
314,"weiblich",22,2,1,4,2,1,4,2,1,2,3.5
316,"weiblich",18,1,1,3,2,1,3,2,1,2,3
317,"weiblich",18,4,3,3,2,2,4,2,2,3,3.5
318,"weiblich",22,1,1,2,2,1,3,2,1,2,4
320,"weiblich",23,1,1,3,2,1,4,1,1,2,2.5
322,"weiblich",20,2,3,3,2,2,3,4,2,2,3.5
323,"weiblich",20,1,2,1,2,2,1,1,1,1,3.5
324,"weiblich",31,1,5,4,1,1,3,2,2,4,3.5
325,"weiblich",22,1,4,4,2,1,5,5,1,3,3.5
326,"weiblich",21,3,2,4,1,1,4,4,1,4,3
327,"weiblich",21,1,1,3,2,1,3,1,1,3,3.5
329,"weiblich",23,3,3,4,4,4,4,4,1,4,3.5
331,"weiblich",20,1,2,3,2,2,4,2,2,3,3
332,"weiblich",21,5,3,4,2,1,2,3,3,5,2.5
333,"maennlich",20,2,4,1,2,3,1,2,4,1,4
335,"maennlich",23,3,2,2,2,4,1,1,4,3,3
336,"weiblich",32,5,1,2,4,2,2,4,5,2,1.5
339,"weiblich",20,1,3,3,2,1,3,3,1,3,4.5
340,"weiblich",21,3,2,4,5,2,1,5,4,2,2
341,"weiblich",51,2,2,2,2,2,2,2,1,2,3.5
345,"maennlich",21,2,2,2,3,3,3,3,3,3,3.5
346,"weiblich",21,1,2,3,1,1,3,1,1,1,4.5
347,"maennlich",26,1,1,1,2,2,1,2,2,2,3.5
348,"weiblich",24,2,2,4,2,3,4,2,3,4,3
349,"weiblich",23,1,1,2,1,1,2,2,1,3,4
350,"maennlich",22,4,4,2,4,3,2,4,3,2,2.5
352,"maennlich",20,3,3,4,4,4,3,1,5,4,3
353,"maennlich",20,3,1,4,1,1,4,1,1,2,2.5
354,"weiblich",22,1,1,5,1,1,5,1,1,3,5
355,"weiblich",41,1,4,4,1,3,4,2,1,2,5
356,"weiblich",21,4,2,4,2,1,3,4,1,2,3
359,"maennlich",23,3,3,2,3,1,2,2,2,1,4.5
360,"weiblich",20,1,1,1,2,1,3,1,1,1,4.5
361,"weiblich",22,1,3,2,3,2,3,2,1,2,4
362,"weiblich",19,2,2,4,2,3,4,3,3,2,3
364,"weiblich",19,1,1,2,1,1,3,3,1,2,4
365,"weiblich",21,1,1,1,1,1,2,4,1,2,3.5
369,"maennlich",20,1,3,2,3,1,4,2,2,2,3.5
371,"weiblich",21,4,3,5,4,2,5,3,4,5,3
377,"weiblich",77,3,2,3,2,2,4,3,3,1,2
382,"weiblich",19,4,3,1,3,2,2,1,1,1,2.5
383,"weiblich",20,1,1,4,1,1,4,2,1,3,3.5
384,"weiblich",24,1,1,4,1,1,4,1,1,4,2.5
385,"maennlich",33,1,2,3,1,1,4,1,1,4,3.5
386,"weiblich",22,5,2,3,4,2,2,2,2,2,3
387,"weiblich",24,1,5,1,1,1,1,1,1,1,4
391,"maennlich",21,5,4,5,5,2,4,5,4,4,2
395,"weiblich",56,2,4,4,1,1,2,2,1,1,4
401,"weiblich",22,2,4,4,2,3,4,2,1,5,2
402,"weiblich",21,3,2,5,2,2,5,4,2,4,3.5
403,"weiblich",20,1,1,2,2,1,3,1,1,2,3
408,"weiblich",23,3,1,4,4,2,4,3,2,4,3.5
410,"weiblich",21,2,1,2,2,1,2,2,2,4,3
412,"weiblich",54,1,2,1,1,3,3,2,1,1,4
413,"maennlich",64,3,4,3,1,4,3,4,1,2,2.5
415,"weiblich",17,2,1,2,1,1,1,2,1,3,2.5
417,"maennlich",22,4,4,3,2,2,2,1,4,4,2.5
420,"maennlich",21,1,3,4,2,1,2,3,3,2,3.5
422,"weiblich",53,1,1,4,1,1,3,1,1,2,4
423,"weiblich",41,2,1,3,4,1,4,2,1,4,3
427,"weiblich",21,2,1,4,2,1,4,1,1,5,5
432,"maennlich",22,1,4,2,4,1,2,4,2,3,4.5
435,"maennlich",38,2,4,4,4,2,4,4,1,3,3.5
436,"weiblich",20,2,4,4,3,3,4,4,1,4,4
437,"maennlich",30,5,5,5,5,5,5,5,5,5,3
439,"maennlich",NA,4,1,1,4,1,2,1,2,3,2.5
442,"maennlich",28,1,2,4,1,1,3,1,2,4,2.5
443,"maennlich",20,2,2,4,2,2,4,2,2,4,4
444,"weiblich",19,4,1,4,4,1,3,3,1,3,4.5
445,"weiblich",20,2,4,5,3,1,5,3,2,4,4
446,"weiblich",20,1,1,5,3,1,5,4,1,4,3
454,"weiblich",22,4,4,4,4,2,3,4,1,2,5
456,"maennlich",25,3,2,3,3,1,4,4,3,2,2.5
457,"weiblich",20,4,1,5,4,1,4,2,1,4,3.5
