"casenum","geschlecht","alter","PF18_01","PF18_02","PF18_03","PF18_04","PF18_05","PF18_06","PF18_07","PF18_08","PF18_09","Vertraeglichkeit"
459,"maennlich",21,2,2,4,4,2,4,3,1,2,4
469,"maennlich",45,1,2,1,2,4,2,3,1,2,4
472,"weiblich",21,2,2,3,1,1,3,1,1,3,4
474,"weiblich",24,4,2,3,4,2,3,3,2,2,3
477,"weiblich",25,4,2,4,4,3,4,5,1,4,4
480,"weiblich",22,1,3,4,3,1,4,2,1,1,4
482,"weiblich",30,2,1,3,3,1,3,1,2,4,1.5
484,"weiblich",20,2,2,3,3,2,4,3,2,2,4
492,"weiblich",19,4,2,2,3,1,3,1,4,4,1.5
494,"weiblich",48,3,1,4,3,4,4,4,3,3,2.5
496,"weiblich",21,2,2,4,3,1,4,2,1,2,4
497,"weiblich",18,5,4,5,5,2,4,5,1,3,4.5
503,"weiblich",51,2,2,3,4,1,2,5,1,2,2
504,"weiblich",36,2,2,3,2,2,3,2,1,1,2.5
505,"weiblich",52,3,1,3,2,2,4,3,1,3,3.5
506,"maennlich",20,2,1,2,4,3,5,2,3,2,3.5
507,"weiblich",21,2,1,3,2,1,3,1,1,3,3.5
508,"weiblich",58,3,1,1,1,3,1,1,1,1,3
510,"weiblich",23,3,4,2,4,1,3,4,2,4,2
511,"weiblich",22,2,1,4,2,1,4,4,1,4,4
512,"maennlich",45,3,2,2,2,2,1,2,2,2,2.5
514,"weiblich",46,2,2,1,2,3,2,4,1,2,3
515,"weiblich",49,4,1,3,2,1,3,2,1,1,3
516,"weiblich",19,2,2,3,2,2,4,2,4,4,3
517,"weiblich",18,4,2,4,1,1,4,4,2,4,2.5
519,"weiblich",24,2,1,2,2,1,3,3,1,2,2.5
521,"weiblich",27,1,1,3,1,1,4,1,1,4,4.5
522,"weiblich",52,1,4,4,3,1,1,1,1,1,3
524,"maennlich",71,1,2,2,1,5,1,3,1,1,2
525,"weiblich",21,1,2,1,1,1,1,1,2,3,4.5
527,"maennlich",26,1,1,2,3,1,2,1,1,1,4
528,"weiblich",18,4,4,4,4,3,3,2,1,3,4
529,"maennlich",45,4,4,3,3,2,3,1,3,2,3
533,"weiblich",18,1,1,2,2,1,1,2,1,1,4
535,"weiblich",43,3,2,4,3,1,4,4,1,4,3
536,"weiblich",24,2,2,2,3,1,1,3,1,1,1.5
539,"weiblich",49,1,1,1,3,1,3,3,2,1,3
540,"weiblich",24,1,1,5,3,2,5,4,1,4,3
543,"weiblich",18,4,1,4,3,2,4,2,4,5,2.5
546,"weiblich",28,2,1,4,2,1,5,2,1,4,3
547,"maennlich",28,4,4,4,3,3,4,3,3,2,3
548,"weiblich",21,3,4,5,2,2,5,4,4,5,3
549,"maennlich",35,1,5,1,1,2,2,1,1,1,3.5
550,"weiblich",21,2,2,3,1,1,2,2,1,2,3
551,"weiblich",41,1,1,3,1,3,4,3,1,4,4
552,"weiblich",21,2,2,2,2,2,3,2,1,1,4
553,"maennlich",64,4,4,2,2,1,4,1,1,3,2.5
556,"weiblich",20,1,1,2,1,1,1,1,1,1,3.5
557,"weiblich",28,1,2,2,2,3,1,1,2,1,3
558,"weiblich",19,2,2,3,2,2,3,3,2,3,3.5
559,"weiblich",17,2,2,4,3,1,2,2,1,3,4
563,"weiblich",56,1,3,4,1,1,3,3,1,3,2
565,"weiblich",19,1,4,3,1,4,2,1,4,2,3.5
566,"weiblich",21,2,1,4,2,1,4,2,1,4,4.5
577,"maennlich",21,2,5,3,4,1,1,1,2,3,2
579,"weiblich",48,1,1,1,1,1,3,2,1,1,3.5
581,"weiblich",53,2,1,2,3,1,2,1,1,1,4.5
584,"weiblich",59,3,1,3,1,1,4,2,1,2,4
586,"weiblich",21,1,1,2,1,1,2,4,1,4,4
589,"weiblich",50,2,1,1,1,1,1,2,1,3,3.5
591,"maennlich",20,1,4,4,2,4,3,1,4,5,3
592,"maennlich",20,2,2,2,1,1,1,2,3,1,3
594,"weiblich",23,2,2,4,3,3,4,2,2,4,4
596,"weiblich",44,2,4,2,1,1,2,2,1,2,4
597,"weiblich",20,3,1,3,2,1,2,1,1,3,4
601,"weiblich",25,2,1,2,2,1,1,2,1,1,4
619,"weiblich",57,1,2,2,1,1,4,2,1,2,4
624,"weiblich",21,1,3,4,3,3,4,4,1,2,2
629,"weiblich",19,1,3,5,2,2,4,2,2,4,3.5
631,"weiblich",20,4,1,3,2,1,1,2,1,2,2.5
632,"maennlich",43,1,1,4,1,1,4,1,1,3,4
634,"maennlich",32,3,2,3,2,2,3,3,2,2,4
645,"weiblich",48,4,4,3,1,3,1,2,3,1,3.5
649,"weiblich",18,2,1,2,1,1,2,1,2,2,3.5
650,"weiblich",21,4,2,4,2,2,5,2,2,4,3
651,"weiblich",20,3,5,1,4,1,5,3,5,1,3.5
653,"maennlich",20,4,5,4,2,1,3,3,2,4,2
654,"maennlich",21,2,2,3,2,2,3,2,2,3,4
657,"weiblich",27,3,4,2,3,2,2,4,2,4,2.5
658,"weiblich",20,1,1,3,2,1,3,2,1,3,4
659,"weiblich",50,3,2,3,1,5,3,4,1,4,4.5
661,"weiblich",22,1,2,1,2,2,3,1,1,2,4
665,"weiblich",21,2,1,2,2,1,2,3,1,2,3.5
667,"maennlich",22,1,1,3,1,1,3,2,1,2,4.5
668,"maennlich",21,4,4,4,3,3,4,3,2,4,3
669,"maennlich",18,2,1,3,2,1,3,2,1,3,4
670,"weiblich",19,3,4,3,2,2,4,2,2,1,2
671,"weiblich",20,4,3,4,2,3,4,4,1,4,3.5
672,"weiblich",21,2,2,4,4,2,5,3,3,3,3.5
673,"maennlich",49,3,2,3,2,2,2,3,1,3,4
674,"weiblich",19,2,4,1,4,2,1,1,3,3,2.5
675,"weiblich",22,3,4,4,3,1,4,4,4,2,4
676,"maennlich",21,4,4,4,4,3,2,4,2,3,3.5
677,"weiblich",19,3,2,5,4,3,5,2,4,5,2
679,"weiblich",22,1,4,2,2,2,3,2,2,2,3
683,"weiblich",25,5,5,4,3,2,3,4,2,2,1.5
685,"weiblich",22,1,1,1,1,2,1,1,1,1,3.5
686,"weiblich",19,4,2,3,3,1,4,3,1,2,1.5
687,"maennlich",19,1,1,3,2,1,4,2,4,3,2
688,"weiblich",19,4,3,5,4,2,4,2,4,4,3
689,"maennlich",26,1,1,3,2,4,2,1,4,4,4
691,"weiblich",19,5,4,2,3,1,1,4,4,2,2
694,"weiblich",25,1,1,1,1,1,1,1,1,1,3.5
697,"maennlich",21,1,1,3,2,1,4,2,1,2,4
698,"weiblich",22,1,1,3,4,3,4,4,1,4,3
699,"weiblich",19,2,3,4,2,2,4,2,1,3,3
702,"weiblich",21,3,1,4,2,2,3,3,2,3,3.5
708,"weiblich",20,4,3,5,4,2,3,3,3,1,3.5
710,"weiblich",24,1,4,3,1,2,4,1,1,4,4.5
711,"weiblich",22,3,2,4,4,4,2,2,3,2,3.5
716,"weiblich",23,1,1,1,1,1,1,1,1,1,4
717,"weiblich",22,1,1,3,1,1,3,3,1,3,3.5
718,"weiblich",22,3,2,5,5,3,3,5,3,4,2.5
719,"weiblich",50,1,3,3,3,1,4,3,1,1,2.5
721,"weiblich",21,1,1,2,2,1,2,2,1,1,3.5
722,"weiblich",23,1,1,2,3,1,2,1,1,2,2
725,"maennlich",24,3,1,5,5,1,5,5,3,5,3.5
726,"weiblich",20,1,2,2,2,1,3,1,1,2,3
727,"weiblich",48,3,4,4,2,4,4,4,2,4,3.5
729,"weiblich",20,3,2,1,4,2,1,2,4,1,4
730,"weiblich",23,1,1,3,1,1,2,1,1,3,2.5
733,"maennlich",52,2,2,4,3,1,4,2,1,3,4
735,"weiblich",20,1,1,3,5,3,4,2,1,1,3.5
743,"weiblich",20,2,3,3,2,2,3,2,2,3,4
745,"weiblich",20,4,4,4,4,2,4,3,3,3,2.5
746,"weiblich",20,1,2,3,1,1,3,1,1,2,4.5
749,"weiblich",44,2,1,3,2,2,2,2,1,2,3.5
751,"weiblich",49,2,2,2,1,3,2,1,1,1,4
753,"weiblich",20,1,1,3,2,1,1,1,1,1,2.5
754,"weiblich",23,3,2,3,3,2,4,4,2,4,2
756,"weiblich",56,2,1,1,1,1,3,2,1,1,3.5
757,"weiblich",52,1,2,2,2,3,2,2,2,3,3
759,"weiblich",27,2,1,4,1,1,3,3,1,4,3
761,"weiblich",20,5,1,3,2,1,2,4,2,2,2.5
762,"weiblich",19,1,1,1,1,1,1,1,2,1,3
764,"weiblich",18,1,1,3,1,1,3,1,1,4,3.5
765,"weiblich",41,5,2,5,5,5,5,5,1,1,4
766,"weiblich",58,2,2,3,3,3,3,3,2,4,3
768,"weiblich",21,3,4,3,5,4,2,2,2,3,2
770,"maennlich",29,4,4,5,3,2,4,5,2,4,3.5
771,"weiblich",21,3,2,2,3,2,1,2,2,2,4
772,"weiblich",21,2,1,3,1,1,4,1,1,3,4
773,"weiblich",19,2,4,3,1,1,3,3,3,3,5
774,"maennlich",52,1,1,1,1,1,2,1,2,1,3
776,"maennlich",20,3,5,3,2,1,3,3,3,3,2
777,"weiblich",40,2,2,5,4,1,4,4,1,2,3
778,"maennlich",42,4,3,5,1,2,4,3,2,4,3.5
779,"weiblich",19,1,1,3,1,1,3,1,2,2,4
783,"weiblich",19,1,2,4,1,1,2,2,3,1,3
789,"weiblich",21,4,2,5,2,4,3,3,1,3,3
792,"weiblich",22,2,2,4,1,1,3,1,3,4,3
796,"weiblich",21,1,3,2,1,1,2,3,1,1,2
797,"maennlich",25,2,2,3,2,1,4,3,1,4,4
798,"weiblich",19,4,2,2,3,1,2,1,2,2,3
800,"weiblich",69,1,4,3,1,1,3,1,1,1,4
801,"maennlich",22,4,3,4,4,3,4,4,2,3,3.5
803,"maennlich",25,2,2,4,3,4,4,3,3,5,2
805,"weiblich",29,4,5,1,5,5,2,4,3,2,2.5
806,"weiblich",22,3,2,4,2,1,4,3,2,4,2.5
809,"weiblich",24,2,1,5,2,1,5,2,1,5,3.5
811,"weiblich",20,4,3,5,5,3,4,4,4,5,1.5
812,"weiblich",28,2,1,4,1,1,4,1,1,4,2
813,"weiblich",38,2,1,3,2,1,4,1,1,3,3
814,"maennlich",24,2,2,5,2,1,1,1,1,4,4
816,"weiblich",20,3,4,4,1,4,4,4,2,2,3
817,"weiblich",19,1,2,1,1,1,2,3,1,3,3.5
818,"weiblich",19,2,5,3,2,1,3,2,2,3,3.5
819,"weiblich",20,4,4,4,4,4,4,4,4,4,3
820,"weiblich",20,2,1,4,1,1,4,4,1,5,3
821,"maennlich",21,1,3,2,2,1,2,1,2,1,4.5
822,"maennlich",24,2,1,4,1,5,4,2,1,5,2.5
827,"weiblich",21,1,1,1,1,1,1,1,1,1,4.5
829,"weiblich",18,3,2,4,2,2,4,3,2,4,3
830,"weiblich",21,2,5,4,3,1,4,1,1,2,4.5
831,"weiblich",18,2,1,4,2,1,4,3,3,4,3
835,"weiblich",20,2,1,2,1,1,1,2,1,1,3
836,"maennlich",41,4,2,2,2,2,2,4,2,2,4.5
839,"weiblich",22,1,4,2,2,2,2,3,1,2,4
840,"weiblich",27,2,1,2,1,1,2,4,1,1,2.5
841,"weiblich",41,3,2,3,2,1,2,1,2,1,3
843,"weiblich",18,1,1,4,2,1,4,3,1,2,3
844,"weiblich",19,1,1,5,1,1,5,1,1,4,3.5
845,"weiblich",21,1,2,2,3,2,4,2,2,1,4
846,"weiblich",18,4,2,4,3,2,4,2,1,2,4
851,"weiblich",19,3,2,3,3,1,3,3,2,3,2.5
853,"weiblich",19,4,1,3,4,1,1,3,1,1,3.5
854,"weiblich",23,1,2,3,2,2,2,2,1,1,4.5
856,"weiblich",22,1,2,4,1,4,3,1,3,4,3
857,"weiblich",69,2,2,2,3,2,2,1,1,1,4
859,"weiblich",18,2,2,5,3,2,4,2,1,4,4.5
860,"weiblich",21,2,2,3,2,1,3,4,1,2,3
862,"weiblich",45,3,3,3,2,2,3,3,2,2,2
863,"weiblich",16,3,2,2,1,1,3,3,1,1,3
864,"maennlich",22,2,1,4,5,3,5,4,1,4,2.5
865,"weiblich",40,1,1,2,1,1,2,1,1,1,3.5
866,"weiblich",57,1,1,1,3,2,1,1,1,3,3
870,"weiblich",24,2,1,2,1,4,3,3,1,1,3
871,"weiblich",26,3,3,3,2,2,4,3,1,3,3.5
872,"weiblich",47,4,4,4,2,1,4,2,3,3,1.5
874,"weiblich",17,3,1,4,4,3,4,1,2,4,3.5
875,"weiblich",54,3,1,3,1,1,1,1,1,2,4.5
876,"weiblich",23,4,4,5,4,4,5,4,2,2,3
878,"maennlich",25,2,4,4,5,5,3,3,5,5,4
879,"weiblich",23,4,4,4,3,4,4,2,4,2,3
880,"weiblich",21,2,2,4,2,2,4,2,1,3,3.5
883,"weiblich",45,2,2,4,3,4,5,4,2,4,3.5
887,"weiblich",38,3,1,3,2,1,5,3,1,3,2.5
893,"maennlich",49,4,2,3,4,2,4,4,2,1,3
894,"weiblich",28,1,1,4,1,1,4,2,1,4,4
895,"weiblich",21,2,2,2,2,4,5,2,2,4,2
896,"weiblich",23,2,3,3,2,1,1,1,1,1,2.5
897,"maennlich",22,2,5,2,2,4,3,4,4,4,4.5
898,"weiblich",51,3,1,3,3,1,3,3,1,2,3.5
899,"maennlich",27,4,2,4,4,2,4,4,1,5,1
900,"maennlich",24,4,2,4,1,3,4,2,4,3,3
901,"weiblich",21,2,1,3,3,1,4,2,1,2,3.5
908,"weiblich",24,3,4,2,3,2,2,1,4,3,1
910,"weiblich",25,4,4,2,2,2,2,3,4,4,1.5
911,"weiblich",23,4,2,5,4,1,4,2,1,2,2.5
914,"maennlich",20,4,3,4,3,3,4,4,4,3,2
916,"weiblich",18,1,1,1,1,1,1,1,1,1,2.5
917,"weiblich",20,4,1,2,1,1,4,3,2,4,3
918,"weiblich",19,2,2,3,3,4,2,3,2,3,2.5
919,"maennlich",20,5,2,3,5,4,4,2,1,5,1.5
920,"weiblich",25,1,3,1,1,4,1,1,2,1,4.5
921,"weiblich",21,3,2,3,4,2,3,4,2,4,3
922,"weiblich",23,1,1,2,1,1,2,1,1,3,4
924,"weiblich",22,1,3,3,2,2,2,1,2,2,2.5
927,"weiblich",19,2,2,1,2,2,1,1,1,1,4.5
928,"weiblich",16,5,4,5,5,2,5,4,3,5,2
929,"weiblich",20,4,1,5,1,1,4,4,4,4,4.5
931,"weiblich",22,1,1,3,1,1,4,2,1,4,3
933,"weiblich",19,3,1,4,3,1,4,3,1,4,4
936,"weiblich",28,4,2,4,4,2,4,4,2,3,2
937,"maennlich",18,2,1,3,1,1,4,2,1,2,5
938,"weiblich",18,4,4,3,4,3,2,1,4,4,1.5
939,"weiblich",50,3,2,4,2,1,4,3,1,4,3
940,"maennlich",21,4,5,4,2,1,4,4,4,5,2
942,"weiblich",18,1,2,2,1,1,1,1,3,3,3.5
945,"weiblich",23,2,1,4,1,1,4,2,1,1,2.5
949,"weiblich",21,2,2,4,1,1,2,2,1,5,3.5
952,"weiblich",46,4,1,2,2,1,2,3,2,3,3
953,"weiblich",21,2,2,4,2,2,4,3,2,4,3
955,"maennlich",53,2,2,4,2,1,3,2,1,3,3.5
960,"weiblich",23,4,2,3,1,1,3,4,2,2,3
964,"weiblich",40,2,2,2,2,1,2,1,1,1,4
965,"weiblich",40,1,1,1,1,1,1,3,1,1,4
966,"weiblich",21,1,2,3,1,1,3,3,2,4,4
967,"maennlich",18,1,2,3,1,1,3,1,1,2,4
969,"weiblich",16,1,3,3,1,2,4,3,1,1,3
970,"weiblich",23,3,2,2,1,1,2,1,1,2,3
972,"weiblich",50,3,4,5,3,1,5,4,3,3,4
973,"weiblich",36,2,2,3,4,2,4,4,3,3,4
974,"maennlich",23,4,4,3,3,4,3,4,3,3,2
975,"weiblich",37,1,2,2,2,2,4,3,2,3,4
977,"weiblich",19,2,2,3,3,2,3,1,1,3,3.5
978,"weiblich",22,2,2,4,1,1,4,4,1,4,1.5
981,"weiblich",20,4,4,5,4,4,5,5,5,5,3
982,"maennlich",25,2,4,3,1,3,3,1,2,4,4.5
986,"maennlich",19,2,2,2,5,1,3,5,2,2,3.5
987,"weiblich",37,1,5,4,1,1,5,2,1,4,3
988,"weiblich",43,2,1,2,3,1,2,3,1,2,4.5
989,"maennlich",43,4,4,2,1,1,1,2,2,1,3
991,"weiblich",20,2,2,3,2,1,2,2,1,2,4.5
993,"weiblich",53,2,1,2,2,2,2,3,2,2,4
995,"maennlich",48,3,2,2,2,2,3,2,2,2,3
997,"weiblich",21,2,1,3,1,1,1,1,2,3,1.5
998,"weiblich",19,1,1,4,1,1,3,1,1,2,3
1005,"weiblich",51,2,1,4,2,1,2,2,1,2,2.5
1006,"weiblich",19,1,1,5,1,1,5,1,2,4,3
1013,"weiblich",18,2,1,4,1,1,4,1,2,3,3
1014,"weiblich",20,1,3,3,4,1,4,5,4,4,1
1015,"weiblich",21,2,4,4,3,4,4,2,2,3,2.5
1016,"weiblich",21,1,5,3,4,4,3,1,2,2,1.5
1017,"weiblich",58,1,1,3,1,1,3,1,1,3,3.5
1023,"weiblich",52,3,2,4,1,1,5,4,1,2,2.5
1026,"weiblich",46,4,2,2,4,2,2,2,2,2,2.5
1027,"weiblich",23,1,1,2,1,1,2,1,1,2,4.5
1028,"maennlich",56,1,4,2,1,4,3,2,4,2,2
1029,"weiblich",20,1,1,4,1,1,4,2,1,4,1.5
1032,"weiblich",49,1,2,2,1,1,1,1,2,2,3
1033,"weiblich",20,1,1,4,1,1,3,3,1,3,4.5
1037,"weiblich",23,4,1,4,2,1,4,4,1,4,3.5
1038,"maennlich",18,3,2,2,4,1,2,3,2,2,3.5
1039,"weiblich",26,1,2,3,2,1,3,1,2,2,3.5
1041,"weiblich",24,1,1,1,1,1,1,1,1,1,3
1044,"weiblich",21,3,2,3,2,1,2,3,1,1,4
1045,"weiblich",51,1,3,2,1,1,1,1,1,2,3
1048,"weiblich",51,1,1,1,1,1,1,1,1,1,3
1049,"maennlich",18,1,1,5,1,1,2,4,4,4,1.5
1051,"maennlich",21,3,2,4,2,1,2,4,1,1,2.5
1053,"weiblich",23,3,2,3,4,1,4,4,1,2,3
1054,"weiblich",19,2,1,2,2,1,3,2,2,3,3
1055,"weiblich",20,3,1,5,2,1,5,4,1,5,4
1057,"weiblich",21,2,2,4,2,1,4,2,2,4,3
1058,"weiblich",56,1,1,3,1,1,3,2,1,3,4
1062,"weiblich",25,2,1,3,4,1,3,4,2,3,3
1063,"weiblich",17,2,2,4,2,3,2,1,1,2,3
1064,"weiblich",36,1,2,1,1,1,2,1,1,1,3.5
1065,"weiblich",23,3,1,4,3,1,4,2,4,4,4.5
1070,"weiblich",29,3,1,4,2,1,4,3,1,3,3
1071,"weiblich",44,5,4,5,5,3,3,5,3,4,3
1078,"maennlich",23,2,1,3,4,2,3,1,3,4,4.5
1080,"weiblich",54,1,1,3,1,1,3,2,1,3,3.5
1083,"weiblich",23,3,1,3,1,1,4,2,1,4,2
1084,"maennlich",21,4,3,4,4,2,2,1,1,3,3.5
1085,"weiblich",23,2,2,4,4,2,4,3,2,4,2.5
1086,"maennlich",23,3,4,3,2,4,3,2,4,2,3
1087,"maennlich",24,4,2,3,4,4,2,4,3,3,3.5
1089,"weiblich",46,3,1,2,1,1,3,1,1,1,4
1090,"weiblich",49,1,1,2,1,1,3,1,1,2,3.5
1091,"maennlich",36,2,3,2,2,4,3,1,1,2,3
1092,"weiblich",52,2,3,3,2,1,2,3,1,1,4
1093,"weiblich",19,2,1,4,3,2,4,4,1,4,4
1095,"weiblich",23,1,1,4,2,1,3,2,2,3,3.5
1096,"weiblich",23,4,2,4,3,2,3,2,1,3,2.5
1097,"weiblich",26,5,2,4,1,2,5,5,2,4,4
1100,"maennlich",19,3,2,5,4,2,5,4,3,5,3
1101,"weiblich",18,2,2,4,4,5,4,2,5,3,1.5
1102,"maennlich",22,4,5,5,4,3,4,4,2,4,2.5
1106,"weiblich",25,1,1,1,1,1,2,1,4,2,3
1107,"maennlich",22,2,1,3,1,1,3,2,1,4,4.5
