"casenum","geschlecht","alter","TP1","TP2","TP3","TP4","TP5","TP6","TP7","TP8"
280,"weiblich",19,2,4,2,1,2,2,4,3
281,"weiblich",21,1,2,2,2,1,2,2,2
289,"maennlich",23,1,1,2,1,1,1,3,3
290,"weiblich",16,1,1,4,4,1,1,3,2
296,"weiblich",22,1,4,3,3,2,1,3,3
301,"weiblich",29,1,3,3,2,1,1,2,3
302,"weiblich",21,2,3,3,2,1,1,3,1
305,"weiblich",25,1,1,2,1,1,1,2,3
307,"weiblich",24,1,1,2,1,1,1,1,1
308,"weiblich",19,1,1,2,1,1,1,3,2
310,"weiblich",20,1,1,1,1,1,1,1,5
312,"weiblich",21,2,2,2,1,1,1,4,3
313,"weiblich",21,1,3,2,3,1,1,2,3
314,"weiblich",22,1,3,3,2,2,2,4,4
316,"weiblich",18,1,2,4,1,1,1,2,2
317,"weiblich",18,1,2,3,2,2,1,3,2
318,"weiblich",22,1,2,2,1,1,2,3,3
320,"weiblich",23,1,1,1,1,1,1,1,1
322,"weiblich",20,2,2,2,2,1,1,3,3
323,"weiblich",20,1,1,2,1,1,1,3,3
324,"weiblich",31,2,2,4,3,1,1,3,4
325,"weiblich",22,1,2,1,1,3,2,5,3
326,"weiblich",21,1,2,3,2,2,3,4,4
327,"weiblich",21,1,2,2,2,1,1,4,2
329,"weiblich",23,1,1,1,1,1,1,1,3
331,"weiblich",20,1,2,3,2,1,1,2,2
332,"weiblich",21,1,1,1,2,1,1,1,3
333,"maennlich",20,2,3,2,2,1,1,2,3
335,"maennlich",23,1,1,1,1,1,1,4,4
336,"weiblich",32,4,5,5,2,2,1,3,3
339,"weiblich",20,1,2,4,2,1,1,2,2
340,"weiblich",21,2,4,4,4,1,3,4,4
341,"weiblich",51,1,1,1,1,1,1,3,2
345,"maennlich",21,1,1,2,2,2,1,3,3
346,"weiblich",21,1,2,2,2,1,1,1,3
347,"maennlich",26,1,1,1,1,1,1,4,2
348,"weiblich",24,1,2,1,1,1,1,2,2
349,"weiblich",23,1,3,2,2,1,1,1,4
350,"maennlich",22,1,1,1,1,1,1,2,2
352,"maennlich",20,1,1,4,2,1,1,1,2
353,"maennlich",20,1,1,1,1,1,1,1,2
354,"weiblich",22,1,1,1,1,1,1,4,5
355,"weiblich",41,1,1,1,1,1,1,3,2
356,"weiblich",21,2,3,4,2,1,1,4,5
359,"maennlich",23,4,4,4,3,4,4,5,5
360,"weiblich",20,1,1,3,1,1,1,2,3
361,"weiblich",22,1,3,2,1,1,2,2,3
362,"weiblich",19,1,3,4,3,1,1,4,4
364,"weiblich",19,1,1,2,1,1,1,1,3
365,"weiblich",21,1,1,1,1,1,1,3,2
369,"maennlich",20,1,1,2,1,1,1,2,3
371,"weiblich",21,3,4,5,3,1,3,5,2
377,"weiblich",77,2,2,2,1,1,2,3,3
382,"weiblich",19,2,4,4,1,1,2,4,3
383,"weiblich",20,1,1,2,1,1,1,1,2
384,"weiblich",24,1,1,1,2,1,1,2,2
385,"maennlich",33,1,2,2,1,1,1,4,5
386,"weiblich",22,1,2,3,2,1,1,3,4
387,"weiblich",24,1,1,3,1,1,1,1,3
391,"maennlich",21,1,1,3,1,1,1,1,1
395,"weiblich",56,1,1,1,1,1,1,3,4
401,"weiblich",22,1,1,1,1,1,1,1,2
402,"weiblich",21,1,2,4,2,1,1,3,3
403,"weiblich",20,2,1,4,3,1,1,5,4
408,"weiblich",23,1,2,2,1,1,1,3,4
410,"weiblich",21,1,1,2,1,1,1,2,4
412,"weiblich",54,2,1,2,2,1,1,1,3
413,"maennlich",64,3,3,3,2,2,3,4,4
415,"weiblich",17,2,3,2,2,1,1,3,2
417,"maennlich",22,1,1,1,1,1,1,3,3
420,"maennlich",21,1,2,2,1,1,1,4,3
422,"weiblich",53,1,2,3,2,2,1,4,2
423,"weiblich",41,1,1,1,1,1,1,3,3
427,"weiblich",21,1,1,2,1,1,1,1,2
432,"maennlich",22,1,2,2,1,1,1,2,1
435,"maennlich",38,1,2,3,1,1,1,4,3
436,"weiblich",20,1,4,2,1,1,1,2,1
437,"maennlich",30,5,5,5,5,5,5,5,5
439,"maennlich",NA,1,1,2,1,1,1,1,1
442,"maennlich",28,1,2,3,2,1,1,2,4
443,"maennlich",20,1,1,1,1,1,1,2,1
444,"weiblich",19,1,2,4,3,1,1,1,3
445,"weiblich",20,1,1,3,2,1,1,1,1
446,"weiblich",20,1,1,1,1,1,1,4,5
454,"weiblich",22,1,2,2,1,1,1,2,4
456,"maennlich",25,1,1,2,1,1,1,3,3
457,"weiblich",20,1,2,4,2,1,3,5,3
