"casenum","geschlecht","alter","TP1","TP2","TP3","TP4","TP5","TP6","TP7","TP8"
459,"maennlich",21,2,3,5,3,2,1,5,2
469,"maennlich",45,2,2,4,3,2,2,4,2
472,"weiblich",21,1,1,1,1,1,1,1,1
474,"weiblich",24,4,4,4,4,4,4,5,4
477,"weiblich",25,1,4,2,4,1,2,3,3
480,"weiblich",22,1,3,3,1,1,1,4,4
482,"weiblich",30,1,3,1,1,1,1,2,2
484,"weiblich",20,2,2,2,2,2,2,3,4
492,"weiblich",19,1,2,2,1,1,1,3,2
494,"weiblich",48,1,2,3,1,1,1,4,3
496,"weiblich",21,1,1,1,1,1,1,3,2
497,"weiblich",18,1,1,1,1,1,1,1,4
503,"weiblich",51,3,4,5,4,4,4,3,3
504,"weiblich",36,1,1,3,1,1,1,3,3
505,"weiblich",52,3,3,3,2,3,2,4,3
506,"maennlich",20,1,1,3,1,1,1,3,2
507,"weiblich",21,1,1,2,1,1,1,3,2
508,"weiblich",58,3,3,3,3,1,1,5,5
510,"weiblich",23,1,1,1,1,1,1,1,3
511,"weiblich",22,1,2,3,1,1,1,4,3
512,"maennlich",45,2,3,2,2,1,1,4,4
514,"weiblich",46,2,2,4,2,2,2,2,5
515,"weiblich",49,5,5,5,5,4,5,1,2
516,"weiblich",19,1,2,1,2,1,1,1,2
517,"weiblich",18,1,2,2,1,1,1,4,4
519,"weiblich",24,2,3,2,2,1,1,1,2
521,"weiblich",27,3,4,4,4,2,1,2,3
522,"weiblich",52,1,1,2,1,1,1,1,1
524,"maennlich",71,1,1,2,1,1,1,2,5
525,"weiblich",21,1,2,3,1,1,1,3,2
527,"maennlich",26,1,1,1,1,1,1,4,3
528,"weiblich",18,1,1,2,1,1,1,3,1
529,"maennlich",45,1,2,1,2,1,1,4,2
533,"weiblich",18,1,1,2,1,1,1,1,1
535,"weiblich",43,1,3,4,1,1,1,1,1
536,"weiblich",24,1,4,2,1,1,1,2,2
539,"weiblich",49,1,3,3,1,1,1,3,1
540,"weiblich",24,1,2,2,2,1,1,1,3
543,"weiblich",18,1,3,2,1,1,1,1,2
546,"weiblich",28,2,4,2,2,2,2,3,2
547,"maennlich",28,1,2,2,1,1,1,3,2
548,"weiblich",21,1,2,1,1,1,1,4,2
549,"maennlich",35,1,1,2,1,1,1,4,5
550,"weiblich",21,1,1,3,1,1,1,1,1
551,"weiblich",41,1,2,4,2,2,2,4,4
552,"weiblich",21,1,1,2,1,1,1,1,2
553,"maennlich",64,1,1,1,1,1,1,1,2
556,"weiblich",20,1,1,1,1,1,1,1,2
557,"weiblich",28,1,1,3,1,1,1,1,1
558,"weiblich",19,1,3,2,2,1,1,5,3
559,"weiblich",17,2,3,4,3,2,3,2,3
563,"weiblich",56,1,1,3,1,1,1,1,1
565,"weiblich",19,4,4,5,4,2,3,3,5
566,"weiblich",21,3,2,5,3,1,1,1,5
577,"maennlich",21,1,1,2,1,1,1,5,3
579,"weiblich",48,3,3,4,3,2,2,2,2
581,"weiblich",53,1,1,3,1,1,1,4,5
584,"weiblich",59,1,1,2,1,1,1,3,4
586,"weiblich",21,1,1,1,1,1,1,3,2
589,"weiblich",50,1,1,3,1,1,1,4,1
591,"maennlich",20,1,1,1,1,1,1,2,3
592,"maennlich",20,1,1,1,1,1,1,2,2
594,"weiblich",23,2,3,3,2,2,2,2,3
596,"weiblich",44,1,3,2,2,1,1,4,4
597,"weiblich",20,2,3,3,2,1,1,3,2
601,"weiblich",25,1,2,2,2,2,2,4,5
619,"weiblich",57,1,1,2,1,1,1,3,2
624,"weiblich",21,1,1,2,1,1,1,1,1
629,"weiblich",19,1,1,1,1,1,1,2,2
631,"weiblich",20,2,2,5,3,1,2,4,2
632,"maennlich",43,1,2,1,2,1,1,5,5
634,"maennlich",32,1,2,3,2,1,1,2,3
645,"weiblich",48,1,1,1,1,1,1,1,1
649,"weiblich",18,1,1,2,1,1,1,2,2
650,"weiblich",21,1,2,2,2,1,1,3,3
651,"weiblich",20,2,5,3,3,3,5,3,3
653,"maennlich",20,1,2,2,2,1,1,2,1
654,"maennlich",21,1,1,1,1,1,1,1,2
657,"weiblich",27,1,1,1,1,1,1,1,1
658,"weiblich",20,1,1,2,1,1,1,2,4
659,"weiblich",50,1,1,3,4,1,1,1,1
661,"weiblich",22,1,5,1,1,1,1,1,3
665,"weiblich",21,3,3,4,2,2,2,4,5
667,"maennlich",22,1,1,3,1,1,1,2,1
668,"maennlich",21,1,4,3,3,1,1,3,5
669,"maennlich",18,2,4,2,3,3,2,5,2
670,"weiblich",19,1,3,2,2,1,1,3,1
671,"weiblich",20,1,2,2,2,2,1,3,3
672,"weiblich",21,1,2,3,1,1,1,2,3
673,"maennlich",49,2,2,2,2,2,2,2,3
674,"weiblich",19,1,2,3,2,1,2,1,4
675,"weiblich",22,1,1,1,1,1,1,2,4
676,"maennlich",21,1,1,1,1,1,1,1,3
677,"weiblich",19,1,1,3,1,1,1,3,3
679,"weiblich",22,1,1,2,2,2,2,2,2
683,"weiblich",25,1,5,3,4,2,2,4,5
685,"weiblich",22,1,1,3,1,1,1,2,3
686,"weiblich",19,1,1,3,2,1,1,2,2
687,"maennlich",19,1,1,1,1,1,1,1,3
688,"weiblich",19,1,4,1,1,2,1,5,5
689,"maennlich",26,1,4,1,1,1,1,2,1
691,"weiblich",19,1,1,3,1,1,1,1,1
694,"weiblich",25,1,1,1,1,1,1,5,2
697,"maennlich",21,3,4,4,4,1,1,5,2
698,"weiblich",22,1,2,1,1,1,1,3,1
699,"weiblich",19,2,4,2,3,1,1,3,3
702,"weiblich",21,2,3,3,3,2,3,5,4
708,"weiblich",20,1,2,2,1,1,1,2,2
710,"weiblich",24,1,1,2,1,1,1,1,4
711,"weiblich",22,1,4,2,4,1,4,5,5
716,"weiblich",23,1,3,3,2,1,1,2,2
717,"weiblich",22,1,2,3,1,1,1,3,4
718,"weiblich",22,1,4,5,3,1,1,4,3
719,"weiblich",50,3,2,4,2,1,1,1,3
721,"weiblich",21,1,2,1,1,1,1,3,3
722,"weiblich",23,1,1,1,1,1,1,3,1
725,"maennlich",24,1,1,1,1,1,1,1,1
726,"weiblich",20,1,1,2,1,1,1,2,3
727,"weiblich",48,1,4,4,1,1,1,2,1
729,"weiblich",20,1,1,2,1,1,1,1,1
730,"weiblich",23,4,5,5,4,3,1,4,3
733,"maennlich",52,2,2,2,2,2,2,2,2
735,"weiblich",20,1,1,1,1,1,1,5,1
743,"weiblich",20,1,2,3,2,1,1,4,4
745,"weiblich",20,1,2,2,1,1,1,2,2
746,"weiblich",20,2,3,5,3,2,1,4,3
749,"weiblich",44,3,3,4,2,2,2,3,2
751,"weiblich",49,2,3,3,3,2,3,4,3
753,"weiblich",20,1,2,2,1,1,1,3,3
754,"weiblich",23,1,2,3,2,1,1,1,3
756,"weiblich",56,1,2,3,3,2,2,4,3
757,"weiblich",52,1,2,2,2,2,2,2,4
759,"weiblich",27,1,1,2,1,1,1,3,2
761,"weiblich",20,2,4,4,3,1,2,4,4
762,"weiblich",19,1,2,5,2,1,1,4,4
764,"weiblich",18,1,2,2,1,1,2,2,3
765,"weiblich",41,1,5,3,3,1,1,2,5
766,"weiblich",58,2,4,4,4,3,3,3,5
768,"weiblich",21,3,3,2,1,1,1,4,4
770,"maennlich",29,1,1,1,1,1,1,1,1
771,"weiblich",21,1,2,4,1,1,1,4,4
772,"weiblich",21,1,3,2,1,1,1,3,3
773,"weiblich",19,1,2,3,2,1,1,1,3
774,"maennlich",52,1,1,1,1,1,1,1,4
776,"maennlich",20,1,3,1,2,1,1,3,1
777,"weiblich",40,1,1,1,1,1,1,3,4
778,"maennlich",42,2,2,1,1,1,1,4,2
779,"weiblich",19,2,4,3,2,2,2,3,2
783,"weiblich",19,1,3,4,3,1,1,3,4
789,"weiblich",21,1,3,3,2,1,1,3,4
792,"weiblich",22,1,2,2,2,1,1,1,1
796,"weiblich",21,1,2,1,1,1,1,1,1
797,"maennlich",25,1,2,3,2,1,1,2,2
798,"weiblich",19,1,1,2,1,1,1,3,4
800,"weiblich",69,3,3,5,4,2,2,3,3
801,"maennlich",22,1,1,1,1,1,1,1,1
803,"maennlich",25,1,1,1,1,1,1,2,1
805,"weiblich",29,1,4,3,3,1,1,5,3
806,"weiblich",22,3,4,4,3,2,3,4,4
809,"weiblich",24,1,2,1,2,1,1,2,2
811,"weiblich",20,1,1,2,1,1,1,1,2
812,"weiblich",28,1,2,4,2,1,1,3,3
813,"weiblich",38,1,1,1,1,1,1,2,3
814,"maennlich",24,1,1,1,1,1,1,3,1
816,"weiblich",20,2,4,5,4,3,3,3,3
817,"weiblich",19,1,4,4,3,1,1,3,4
818,"weiblich",19,2,3,4,3,2,3,3,3
819,"weiblich",20,1,2,2,2,1,1,3,2
820,"weiblich",20,1,3,3,1,1,1,3,1
821,"maennlich",21,1,3,2,2,1,1,3,5
822,"maennlich",24,1,1,2,1,1,1,3,2
827,"weiblich",21,1,2,1,1,1,1,2,4
829,"weiblich",18,1,2,2,3,1,1,4,3
830,"weiblich",21,1,2,3,2,1,2,3,3
831,"weiblich",18,1,2,3,1,1,1,5,5
835,"weiblich",20,2,4,5,3,3,3,5,2
836,"maennlich",41,1,1,1,1,1,1,1,1
839,"weiblich",22,1,3,2,1,1,1,4,4
840,"weiblich",27,1,2,4,3,1,1,2,3
841,"weiblich",41,1,1,1,1,1,1,1,1
843,"weiblich",18,1,1,2,2,1,1,2,5
844,"weiblich",19,1,1,2,1,1,1,3,4
845,"weiblich",21,1,1,3,1,2,2,3,2
846,"weiblich",18,1,1,2,1,1,1,3,3
851,"weiblich",19,1,1,3,1,1,1,4,5
853,"weiblich",19,1,4,1,1,1,1,4,5
854,"weiblich",23,1,2,2,1,1,1,4,2
856,"weiblich",22,1,2,2,1,1,1,1,3
857,"weiblich",69,1,1,2,1,1,1,1,2
859,"weiblich",18,2,2,2,1,1,2,3,3
860,"weiblich",21,3,4,5,2,1,2,2,3
862,"weiblich",45,2,3,3,2,2,2,2,4
863,"weiblich",16,1,3,3,1,1,1,3,2
864,"maennlich",22,1,3,1,2,1,1,3,2
865,"weiblich",40,1,1,2,2,1,1,4,2
866,"weiblich",57,1,2,3,1,1,1,1,2
870,"weiblich",24,1,3,2,2,1,1,1,3
871,"weiblich",26,2,3,3,3,3,2,4,3
872,"weiblich",47,1,1,2,1,1,1,3,3
874,"weiblich",17,1,1,2,1,1,1,2,1
875,"weiblich",54,1,2,3,2,2,2,5,5
876,"weiblich",23,1,4,4,2,1,1,2,2
878,"maennlich",25,1,1,1,1,1,1,1,1
879,"weiblich",23,1,1,2,1,1,2,2,2
880,"weiblich",21,1,1,3,3,1,2,3,3
883,"weiblich",45,3,3,5,4,4,3,4,4
887,"weiblich",38,1,1,4,3,1,1,5,3
893,"maennlich",49,1,2,1,2,1,1,2,3
894,"weiblich",28,1,2,3,1,1,1,2,1
895,"weiblich",21,1,2,2,2,1,1,1,3
896,"weiblich",23,1,1,1,1,1,1,1,2
897,"maennlich",22,1,2,4,2,2,1,2,3
898,"weiblich",51,1,3,1,1,1,2,3,5
899,"maennlich",27,3,2,4,2,2,1,4,1
900,"maennlich",24,1,1,1,1,1,1,3,2
901,"weiblich",21,1,2,2,1,1,1,2,3
908,"weiblich",24,1,1,2,1,1,1,1,2
910,"weiblich",25,1,1,1,1,1,1,1,1
911,"weiblich",23,1,1,1,1,1,1,3,2
914,"maennlich",20,1,1,2,1,1,1,1,3
916,"weiblich",18,1,1,1,1,1,1,1,1
917,"weiblich",20,1,1,1,1,1,1,3,3
918,"weiblich",19,1,3,3,1,1,1,2,3
919,"maennlich",20,1,1,1,1,1,1,1,1
920,"weiblich",25,1,2,2,1,1,1,5,3
921,"weiblich",21,1,2,2,1,1,1,2,3
922,"weiblich",23,1,3,2,3,2,1,2,2
924,"weiblich",22,1,1,3,1,1,1,1,1
927,"weiblich",19,3,4,5,3,1,2,3,4
928,"weiblich",16,1,1,1,1,1,1,1,3
929,"weiblich",20,1,1,5,3,2,2,4,1
931,"weiblich",22,1,3,2,2,1,1,1,3
933,"weiblich",19,1,1,3,1,1,1,1,2
936,"weiblich",28,1,3,1,1,1,1,1,1
937,"maennlich",18,1,1,1,1,1,1,1,3
938,"weiblich",18,1,1,2,1,1,1,1,1
939,"weiblich",50,1,2,3,1,1,1,3,3
940,"maennlich",21,1,1,1,1,1,1,1,1
942,"weiblich",18,1,1,2,1,1,1,5,4
945,"weiblich",23,1,4,2,2,1,2,4,2
949,"weiblich",21,1,2,2,2,1,1,2,2
952,"weiblich",46,1,4,1,1,1,1,2,3
953,"weiblich",21,1,1,1,1,1,1,2,2
955,"maennlich",53,1,2,2,2,1,1,3,3
960,"weiblich",23,1,1,1,1,1,1,5,4
964,"weiblich",40,1,1,1,1,1,1,3,3
965,"weiblich",40,1,1,3,1,1,1,1,1
966,"weiblich",21,2,3,2,2,1,2,3,2
967,"maennlich",18,1,1,3,1,1,1,3,4
969,"weiblich",16,1,1,1,1,1,1,3,3
970,"weiblich",23,1,3,3,2,1,1,1,5
972,"weiblich",50,1,1,1,1,1,1,1,4
973,"weiblich",36,1,3,4,3,1,1,4,3
974,"maennlich",23,1,1,2,2,1,1,4,3
975,"weiblich",37,2,2,4,2,2,2,2,2
977,"weiblich",19,1,2,4,3,1,1,4,4
978,"weiblich",22,1,2,2,3,1,1,4,2
981,"weiblich",20,1,1,4,3,1,1,1,2
982,"maennlich",25,1,1,1,1,1,1,1,2
986,"maennlich",19,1,2,2,3,1,1,1,3
987,"weiblich",37,1,2,1,1,1,2,2,1
988,"weiblich",43,2,5,5,3,2,1,4,2
989,"maennlich",43,1,1,1,1,1,1,3,2
991,"weiblich",20,1,4,2,3,2,2,4,4
993,"weiblich",53,2,1,3,2,2,2,2,2
995,"maennlich",48,1,4,2,2,2,2,2,2
997,"weiblich",21,1,4,5,5,1,1,2,1
998,"weiblich",19,1,5,5,5,2,2,5,3
1005,"weiblich",51,4,4,2,3,4,4,3,4
1006,"weiblich",19,1,1,1,1,1,1,2,4
1013,"weiblich",18,1,1,5,2,3,2,5,3
1014,"weiblich",20,1,3,2,1,1,1,3,5
1015,"weiblich",21,2,2,2,1,1,1,4,3
1016,"weiblich",21,1,4,1,1,1,1,3,2
1017,"weiblich",58,1,1,1,1,1,1,3,5
1023,"weiblich",52,1,1,2,1,1,1,3,2
1026,"weiblich",46,2,3,3,3,3,3,3,3
1027,"weiblich",23,1,4,3,3,1,2,4,1
1028,"maennlich",56,1,2,3,1,1,1,3,4
1029,"weiblich",20,1,2,3,2,1,1,2,1
1032,"weiblich",49,1,1,2,1,1,1,2,4
1033,"weiblich",20,1,1,3,1,1,1,2,3
1037,"weiblich",23,1,4,3,4,1,2,4,4
1038,"maennlich",18,1,3,2,1,1,1,4,3
1039,"weiblich",26,1,3,4,2,1,1,2,3
1041,"weiblich",24,3,2,5,1,1,1,3,3
1044,"weiblich",21,1,4,3,3,1,1,2,2
1045,"weiblich",51,1,1,2,1,1,1,1,2
1048,"weiblich",51,2,2,2,1,1,1,5,4
1049,"maennlich",18,1,5,3,2,1,2,5,1
1051,"maennlich",21,1,3,3,2,1,1,5,4
1053,"weiblich",23,1,2,1,1,1,1,3,3
1054,"weiblich",19,1,2,3,1,1,1,3,4
1055,"weiblich",20,1,1,2,1,1,1,2,3
1057,"weiblich",21,1,1,3,1,1,1,2,2
1058,"weiblich",56,1,1,1,1,1,1,3,3
1062,"weiblich",25,1,3,2,1,1,1,4,2
1063,"weiblich",17,1,1,2,1,1,1,1,1
1064,"weiblich",36,1,1,1,1,1,1,1,1
1065,"weiblich",23,1,1,1,1,1,1,3,1
1070,"weiblich",29,1,3,2,3,3,2,3,3
1071,"weiblich",44,1,1,3,1,1,1,1,1
1078,"maennlich",23,1,2,2,2,1,1,1,2
1080,"weiblich",54,1,1,2,1,1,1,4,3
1083,"weiblich",23,1,1,2,1,1,1,1,4
1084,"maennlich",21,1,1,1,1,1,1,3,2
1085,"weiblich",23,1,2,3,3,1,1,3,2
1086,"maennlich",23,1,1,1,1,1,1,4,5
1087,"maennlich",24,1,1,2,1,1,1,2,2
1089,"weiblich",46,3,3,5,4,2,2,1,5
1090,"weiblich",49,1,1,2,2,1,1,4,3
1091,"maennlich",36,1,2,2,1,1,1,2,3
1092,"weiblich",52,1,1,1,1,1,1,1,1
1093,"weiblich",19,1,1,2,1,1,1,2,2
1095,"weiblich",23,1,2,3,2,1,1,2,2
1096,"weiblich",23,1,2,1,2,1,1,3,3
1097,"weiblich",26,1,3,2,1,1,1,3,2
1100,"maennlich",19,1,1,1,1,1,1,1,2
1101,"weiblich",18,1,1,2,1,1,1,1,1
1102,"maennlich",22,2,1,2,2,1,1,2,2
1106,"weiblich",25,1,2,1,1,1,1,1,2
1107,"maennlich",22,1,1,1,1,1,1,2,5
