"casenum","geschlecht","alter","Ext_pos","Ext_neg","Neu_pos","Neu_neg","Ver_pos","Ver_neg","Gew_pos","Gew_neg","Off_pos","Off_neg"
280,"weiblich",19,3,4,4,3,5,1,4,3,5,2
281,"weiblich",21,4,4,3,2,2,3,5,1,3,2
289,"maennlich",23,4,2,2,4,4,4,4,4,5,2
290,"weiblich",16,1,4,1,2,3,5,2,4,5,2
296,"weiblich",22,4,2,2,3,4,4,4,3,4,4
301,"weiblich",29,5,3,2,4,3,3,4,3,4,2
302,"weiblich",21,4,2,3,3,3,2,4,2,4,2
305,"weiblich",25,4,2,4,1,3,3,4,3,4,3
307,"weiblich",24,4,2,3,4,3,2,3,4,4,3
308,"weiblich",19,4,1,3,2,2,4,3,5,5,3
310,"weiblich",20,4,3,2,3,1,4,5,3,5,2
312,"weiblich",21,2,4,5,2,4,4,5,3,4,2
313,"weiblich",21,3,4,4,1,3,4,4,3,4,2
314,"weiblich",22,4,1,4,2,4,3,4,2,4,4
316,"weiblich",18,2,3,4,2,3,3,4,3,4,2
317,"weiblich",18,4,3,2,3,4,3,3,4,3,2
318,"weiblich",22,5,2,2,3,4,2,5,1,5,2
320,"weiblich",23,4,2,4,4,3,4,4,4,2,2
322,"weiblich",20,3,4,2,4,3,2,4,4,5,4
323,"weiblich",20,1,5,5,3,2,1,5,4,4,2
324,"weiblich",31,2,4,5,1,3,2,4,4,5,1
325,"weiblich",22,5,1,4,4,4,3,2,1,5,1
326,"weiblich",21,5,1,2,3,3,3,5,4,5,1
327,"weiblich",21,4,3,4,4,4,3,4,4,5,1
329,"weiblich",23,4,2,3,2,4,3,4,4,3,4
331,"weiblich",20,3,3,4,2,3,3,3,4,5,1
332,"weiblich",21,3,4,2,2,3,4,5,4,4,4
333,"maennlich",20,3,5,3,5,4,2,3,5,2,3
335,"maennlich",23,2,3,4,2,4,4,4,1,5,1
336,"weiblich",32,5,1,1,2,2,5,5,2,5,1
339,"weiblich",20,3,4,3,3,4,1,4,4,4,2
340,"weiblich",21,3,3,3,2,2,4,2,5,4,4
341,"weiblich",51,4,2,2,4,4,3,4,3,4,4
345,"maennlich",21,3,3,3,4,3,2,4,1,2,4
346,"weiblich",21,2,4,4,2,4,1,5,1,4,3
347,"maennlich",26,2,5,4,3,4,3,3,4,4,3
348,"weiblich",24,2,5,5,2,4,4,5,1,2,4
349,"weiblich",23,4,2,2,3,4,2,5,1,4,1
350,"maennlich",22,4,2,2,4,1,2,4,2,4,5
352,"maennlich",20,3,5,4,4,4,4,4,5,5,2
353,"maennlich",20,5,1,1,5,4,5,5,1,4,3
354,"weiblich",22,4,4,5,1,5,1,4,4,5,1
355,"weiblich",41,5,1,4,3,5,1,5,3,5,3
356,"weiblich",21,5,2,1,3,4,4,5,3,5,1
359,"maennlich",23,3,4,3,5,4,1,2,5,3,1
360,"weiblich",20,3,3,2,5,4,1,4,4,4,5
361,"weiblich",22,2,4,4,2,4,2,5,2,2,5
362,"weiblich",19,4,2,3,4,2,2,4,3,4,4
364,"weiblich",19,4,3,4,5,4,2,5,2,5,2
365,"weiblich",21,4,4,5,2,5,4,5,1,5,2
369,"maennlich",20,5,1,1,5,4,3,4,4,3,4
371,"weiblich",21,4,2,2,2,4,4,4,3,4,2
377,"weiblich",77,4,3,2,3,2,4,4,3,4,1
382,"weiblich",19,4,2,1,4,2,3,5,5,5,1
383,"weiblich",20,2,4,2,4,4,3,5,1,5,1
384,"weiblich",24,4,2,2,2,2,3,5,1,4,4
385,"maennlich",33,2,3,4,2,3,2,4,3,2,1
386,"weiblich",22,3,2,3,2,4,4,5,1,2,4
387,"weiblich",24,4,2,2,5,4,2,3,3,5,1
391,"maennlich",21,5,2,2,5,1,3,3,3,5,4
395,"weiblich",56,4,1,2,4,4,2,5,2,4,2
401,"weiblich",22,4,1,1,2,2,4,4,3,4,1
402,"weiblich",21,5,1,1,4,4,3,4,3,5,1
403,"weiblich",20,5,2,1,3,4,4,4,4,5,1
408,"weiblich",23,3,3,3,4,4,3,4,4,4,2
410,"weiblich",21,3,4,2,3,2,2,5,1,4,4
412,"weiblich",54,2,2,3,3,4,2,5,3,4,3
413,"maennlich",64,4,2,3,2,3,4,5,2,4,3
415,"weiblich",17,3,3,2,3,3,4,4,2,3,3
417,"maennlich",22,4,2,1,4,3,4,5,2,3,5
420,"maennlich",21,3,3,2,2,4,3,2,4,5,2
422,"weiblich",53,4,4,4,4,4,2,4,2,5,1
423,"weiblich",41,3,3,4,4,2,2,4,2,5,1
427,"weiblich",21,2,3,5,3,5,1,4,4,5,2
432,"maennlich",22,4,4,4,3,5,2,4,4,3,1
435,"maennlich",38,4,2,2,4,4,3,4,2,4,1
436,"weiblich",20,2,4,4,1,4,2,5,3,4,2
437,"maennlich",30,5,5,5,5,5,5,5,5,5,5
439,"maennlich",NA,3,4,4,2,1,2,4,4,5,2
442,"maennlich",28,2,4,3,3,1,2,3,5,5,1
443,"maennlich",20,4,3,2,5,4,2,4,4,4,4
444,"weiblich",19,4,3,3,2,5,2,4,2,4,2
445,"weiblich",20,4,3,2,4,4,2,4,3,3,4
446,"weiblich",20,5,1,4,2,2,2,5,2,4,5
454,"weiblich",22,4,2,3,3,5,1,3,3,5,2
456,"maennlich",25,2,3,4,2,3,4,3,5,5,1
457,"weiblich",20,4,2,4,4,5,4,4,5,5,1
459,"maennlich",21,4,2,4,2,5,3,4,4,5,2
469,"maennlich",45,4,2,2,2,4,2,4,3,3,3
472,"weiblich",21,4,4,4,3,4,2,4,4,4,3
474,"weiblich",24,3,3,2,4,4,4,3,4,3,1
477,"weiblich",25,5,2,4,3,4,2,3,4,4,4
480,"weiblich",22,5,1,2,4,4,2,3,3,5,1
482,"weiblich",30,2,4,5,2,2,5,5,3,2,4
484,"weiblich",20,4,2,5,2,4,2,4,3,4,2
492,"weiblich",19,4,2,4,4,1,4,5,4,4,2
494,"weiblich",48,4,3,3,2,3,4,5,4,5,2
496,"weiblich",21,4,1,5,2,4,2,3,3,4,1
497,"weiblich",18,2,4,3,4,4,1,4,4,5,1
503,"weiblich",51,4,2,4,2,3,5,4,2,1,5
504,"weiblich",36,4,2,3,3,3,4,3,4,4,2
505,"weiblich",52,4,2,3,1,4,3,5,1,5,1
506,"maennlich",20,4,2,5,2,4,3,4,5,5,1
507,"weiblich",21,4,2,2,3,4,3,5,3,4,2
508,"weiblich",58,3,3,3,3,3,3,4,2,3,3
510,"weiblich",23,3,3,4,2,3,5,5,2,5,4
511,"weiblich",22,4,2,4,1,4,2,4,4,2,4
512,"maennlich",45,3,2,1,4,2,3,4,2,4,3
514,"weiblich",46,5,5,2,4,2,2,4,2,2,5
515,"weiblich",49,2,4,4,2,4,4,4,2,5,4
516,"weiblich",19,3,2,1,4,2,2,5,4,4,1
517,"weiblich",18,4,4,3,2,3,4,5,3,5,4
519,"weiblich",24,2,4,4,3,2,3,4,2,4,2
521,"weiblich",27,4,2,2,3,4,1,5,1,4,2
522,"weiblich",52,5,2,4,4,4,4,5,2,3,4
524,"maennlich",71,5,1,5,4,3,5,5,4,4,3
525,"weiblich",21,3,3,2,2,5,2,4,5,4,2
527,"maennlich",26,3,2,1,5,4,2,5,4,4,3
528,"weiblich",18,4,4,4,3,4,2,3,4,4,2
529,"maennlich",45,3,4,2,4,2,2,4,5,4,4
533,"weiblich",18,4,4,2,5,4,2,5,4,5,2
535,"weiblich",43,5,1,2,5,4,4,4,4,4,1
536,"weiblich",24,3,4,5,1,2,5,3,5,5,5
539,"weiblich",49,4,3,2,3,3,3,3,4,4,2
540,"weiblich",24,2,4,5,5,4,4,4,1,5,5
543,"weiblich",18,5,1,1,4,3,4,4,5,2,5
546,"weiblich",28,5,1,3,4,5,5,5,2,5,1
547,"maennlich",28,4,1,2,2,4,4,4,4,4,5
548,"weiblich",21,2,4,5,2,4,4,5,5,2,4
549,"maennlich",35,5,3,1,3,4,3,4,1,4,5
550,"weiblich",21,4,3,4,4,4,4,5,4,3,5
551,"weiblich",41,3,4,2,3,4,2,2,4,3,2
552,"weiblich",21,4,2,3,2,4,2,4,4,4,2
553,"maennlich",64,3,4,2,4,3,4,5,2,4,2
556,"weiblich",20,5,1,2,5,2,1,4,1,1,5
