lfdn;domc_score;mc_score;balancing
36;7;8;2
37;5;7;1
38;7;3;2
39;14;17;1
40;10;11;2
41;17;17;2
42;13;16;1
43;16;16;2
44;4;14;1
45;4;4;1
46;6;6;2
48;12;13;1
49;9;12;2
50;7;7;1
51;5;8;2
52;7;16;1
53;6;6;1
54;8;5;2
55;8;9;1
56;9;6;2
57;6;10;1
58;8;9;2
59;6;1;2
61;4;6;1
62;14;17;1
64;5;7;1
65;12;7;2
66;5;12;1
67;13;11;2
68;3;7;2
69;6;14;1
70;10;13;1
71;9;9;1
72;11;11;2
73;15;16;2
76;15;15;1
77;14;14;2
78;11;9;2
79;9;13;1
80;6;6;1
82;4;2;1
83;14;17;2
84;7;5;2
85;5;4;1
87;15;15;1
88;8;9;2
89;7;8;1
90;14;17;2
91;15;15;2
93;14;18;1
94;8;10;1
97;13;12;2
98;15;15;1
99;10;11;1
100;13;13;2
101;10;5;2
102;12;16;1
103;13;17;2
104;8;8;1
106;3;7;1
107;15;15;2
108;11;15;1
109;2;6;1
110;13;16;2
111;11;14;1
112;11;14;2
113;9;14;2
114;6;9;1
115;9;14;1
116;13;14;2
117;16;17;2
119;11;7;2
120;13;17;1
121;10;18;1
125;12;11;2
126;5;8;2
127;15;16;1
128;8;11;1
129;12;17;1
130;10;11;2
131;16;17;1
133;13;13;2
134;13;11;2
135;10;14;1
136;10;17;1
137;11;6;2
139;7;11;1
140;6;4;2
141;6;12;1
142;5;3;2
143;4;8;1
144;9;15;1
145;6;6;2
146;8;14;1
147;8;11;2
148;3;5;1
149;16;16;2
150;4;3;1
152;1;10;1
153;11;13;2
154;16;16;2
155;11;12;1
156;15;18;1
157;9;8;2
159;7;8;1
160;15;14;2
161;5;6;2
162;14;14;1
166;10;13;1
168;5;6;2
169;8;10;1
170;4;6;2
171;5;7;1
172;14;12;2
173;14;17;1
174;0;6;2
176;13;15;1
177;7;16;1
178;6;6;2
179;10;12;1
181;9;13;2
182;6;9;1
183;8;10;2
184;6;8;1
187;8;8;2
188;10;17;1
189;10;8;2
190;14;17;1
191;7;10;1
194;15;16;2
195;6;14;1
196;6;9;2
198;9;13;1
199;4;9;1
200;13;13;2
201;9;10;2
203;7;8;2
204;16;17;1
206;16;12;2
207;16;18;1
208;12;14;2
209;13;14;1
210;12;16;1
211;16;15;2
212;13;15;2
213;10;9;1
214;10;11;2
215;10;12;1
217;18;18;1
218;13;15;1
219;15;16;2
